name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
AE009948,AE009948.1,0,3999,4000,0,"[3.5182852745056152, -3.874559164047241]","[0.9993847608566284, 0.0006152637070044875]"
AE009948,AE009948.1,100,4099,4000,0,"[3.51007342338562, -3.867555856704712]","[0.9993752837181091, 0.0006246904958970845]"
AE009948,AE009948.1,200,4199,4000,0,"[3.5116825103759766, -3.8698983192443848]","[0.9993777275085449, 0.0006222284282557666]"
AE009948,AE009948.1,300,4299,4000,0,"[3.4960923194885254, -3.8540098667144775]","[0.9993578791618347, 0.0006421139696612954]"
AE009948,AE009948.1,400,4399,4000,0,"[3.459117889404297, -3.815776824951172]","[0.9993077516555786, 0.0006922335596755147]"
AE009948,AE009948.1,500,4499,4000,0,"[3.4808168411254883, -3.838223457336426]","[0.9993376135826111, 0.0006623590015806258]"
AE009948,AE009948.1,600,4599,4000,0,"[3.507028102874756, -3.8644192218780518]","[0.9993714690208435, 0.0006285617128014565]"
AE009948,AE009948.1,700,4699,4000,0,"[3.5150840282440186, -3.8731725215911865]","[0.9993818998336792, 0.0006180910277180374]"
AE009948,AE009948.1,800,4799,4000,0,"[3.5142855644226074, -3.871994972229004]","[0.9993807077407837, 0.000619312864728272]"
AE009948,AE009948.1,900,4899,4000,0,"[3.5135767459869385, -3.871811866760254]","[0.9993801116943359, 0.0006198652554303408]"
AE009948,AE009948.1,1000,4999,4000,0,"[3.495037078857422, -3.8539183139801025]","[0.9993571639060974, 0.0006428505876101553]"
AE009948,AE009948.1,1100,5099,4000,0,"[3.4915854930877686, -3.8502964973449707]","[0.9993526339530945, 0.0006474109250120819]"
AE009948,AE009948.1,1200,5199,4000,0,"[3.449232578277588, -3.8064169883728027]","[0.9992942810058594, 0.0007056751055642962]"
AE009948,AE009948.1,1300,5299,4000,0,"[3.3860526084899902, -3.741710901260376]","[0.9991981387138367, 0.0008018685039132833]"
AE009948,AE009948.1,1400,5399,4000,0,"[3.3545265197753906, -3.7096304893493652]","[0.9991455078125, 0.0008544847369194031]"
AE009948,AE009948.1,1500,5499,4000,0,"[3.44071626663208, -3.797916889190674]","[0.9992823004722595, 0.0007177773513831198]"
AE009948,AE009948.1,1600,5599,4000,0,"[3.447808265686035, -3.8063745498657227]","[0.9992932081222534, 0.0007067102123983204]"
AE009948,AE009948.1,1700,5699,4000,0,"[3.416602611541748, -3.7729456424713135]","[0.9992461204528809, 0.0007538609206676483]"
AE009948,AE009948.1,1800,5799,4000,0,"[3.400657892227173, -3.7581589221954346]","[0.9992226362228394, 0.0007773697143420577]"
AE009948,AE009948.1,1900,5899,4000,0,"[3.445754051208496, -3.8044631481170654]","[0.9992904663085938, 0.000709516170900315]"
AE009948,AE009948.1,2000,5999,4000,0,"[3.4192965030670166, -3.7782137393951416]","[0.9992521405220032, 0.000747887184843421]"
AE009948,AE009948.1,2100,6099,4000,0,"[3.442064046859741, -3.801520824432373]","[0.9992857575416565, 0.0007142345421016216]"
AE009948,AE009948.1,2200,6199,4000,0,"[3.488661289215088, -3.848684072494507]","[0.9993496537208557, 0.0006503527401946485]"
AE009948,AE009948.1,2300,6299,4000,0,"[3.4733307361602783, -3.833664894104004]","[0.999329686164856, 0.0006703799590468407]"
AE009948,AE009948.1,2400,6399,4000,0,"[3.392838478088379, -3.751213788986206]","[0.9992110729217529, 0.0007889230619184673]"
AE009948,AE009948.1,2500,6499,4000,0,"[3.348659038543701, -3.705170154571533]","[0.9991366267204285, 0.0008633477846160531]"
AE009948,AE009948.1,2600,6599,4000,0,"[3.4779913425445557, -3.8379178047180176]","[0.9993355870246887, 0.0006644346867688]"
AE009948,AE009948.1,2700,6699,4000,0,"[3.4727067947387695, -3.834731101989746]","[0.9993299245834351, 0.0006700835074298084]"
AE009948,AE009948.1,2800,6799,4000,0,"[3.485083818435669, -3.8457844257354736]","[0.9993453621864319, 0.0006545758224092424]"
AE009948,AE009948.1,2900,6899,4000,0,"[3.509474039077759, -3.8680579662323]","[0.9993752837181091, 0.000624751322902739]"
AE009948,AE009948.1,3000,6999,4000,0,"[3.5009853839874268, -3.860426187515259]","[0.9993651509284973, 0.0006348977331072092]"
AE009948,AE009948.1,3100,7099,4000,0,"[3.4826362133026123, -3.842794179916382]","[0.9993417859077454, 0.0006581426714546978]"
AE009948,AE009948.1,3200,7199,4000,0,"[3.5053977966308594, -3.8634893894195557]","[0.9993698000907898, 0.0006301722605712712]"
AE009948,AE009948.1,3300,7299,4000,0,"[3.4044365882873535, -3.7649917602539062]","[0.9992308616638184, 0.0007691706414334476]"
AE009948,AE009948.1,3400,7399,4000,0,"[3.4411017894744873, -3.800947666168213]","[0.9992846846580505, 0.0007153312908485532]"
AE009948,AE009948.1,3500,7499,4000,0,"[3.480077028274536, -3.838015556335449]","[0.9993370175361633, 0.0006629867712035775]"
AE009948,AE009948.1,3600,7599,4000,0,"[3.490321636199951, -3.8496487140655518]","[0.9993513226509094, 0.0006486485945060849]"
AE009948,AE009948.1,3700,7699,4000,0,"[3.4529125690460205, -3.811156988143921]","[0.9993002414703369, 0.000699762487784028]"
AE009948,AE009948.1,3800,7799,4000,0,"[3.497861623764038, -3.8566792011260986]","[0.9993607401847839, 0.0006392721552401781]"
AE009948,AE009948.1,3900,7899,4000,0,"[3.505038261413574, -3.8638267517089844]","[0.9993698000907898, 0.0006301861139945686]"
AE009948,AE009948.1,4000,7999,4000,0,"[3.514075756072998, -3.8719136714935303]","[0.9993804693222046, 0.000619493133854121]"
AE009948,AE009948.1,4100,8099,4000,0,"[3.5085556507110596, -3.8668813705444336]","[0.9993739724159241, 0.0006260608206503093]"
AE009948,AE009948.1,4200,8199,4000,0,"[3.5074708461761475, -3.86395525932312]","[0.9993714690208435, 0.0006285752169787884]"
AE009948,AE009948.1,4300,8299,4000,0,"[3.500307083129883, -3.8584139347076416]","[0.999363362789154, 0.0006366072921082377]"
AE009948,AE009948.1,4400,8399,4000,0,"[3.4966094493865967, -3.854670524597168]","[0.999358594417572, 0.0006413585506379604]"
AE009948,AE009948.1,4500,8499,4000,0,"[3.49914288520813, -3.8584365844726562]","[0.9993626475334167, 0.0006373339565470815]"
AE009948,AE009948.1,4600,8599,4000,0,"[3.500802516937256, -3.8593826293945312]","[0.9993643164634705, 0.0006356763187795877]"
AE009948,AE009948.1,4700,8699,4000,0,"[3.501917600631714, -3.8607370853424072]","[0.9993658661842346, 0.0006341094267554581]"
AE009948,AE009948.1,4800,8799,4000,0,"[3.4891083240509033, -3.848242998123169]","[0.9993496537208557, 0.0006503486656583846]"
AE009948,AE009948.1,4900,8899,4000,0,"[3.480557441711426, -3.8385982513427734]","[0.9993377327919006, 0.0006622826331295073]"
AE009948,AE009948.1,5000,8999,4000,0,"[3.485933780670166, -3.8435328006744385]","[0.999344527721405, 0.0006554932915605605]"
AE009948,AE009948.1,5100,9099,4000,0,"[3.483973979949951, -3.8420889377593994]","[0.9993422627449036, 0.0006577266613021493]"
AE009948,AE009948.1,5200,9199,4000,0,"[3.4357190132141113, -3.793973684310913]","[0.9992757439613342, 0.0007242187857627869]"
AE009948,AE009948.1,5300,9299,4000,0,"[3.4873454570770264, -3.8454649448394775]","[0.9993466734886169, 0.0006533066043630242]"
AE009948,AE009948.1,5400,9399,4000,0,"[3.485036611557007, -3.8425393104553223]","[0.99934321641922, 0.0006567332311533391]"
AE009948,AE009948.1,5500,9499,4000,0,"[3.465496063232422, -3.8220577239990234]","[0.9993164539337158, 0.0006835316889919341]"
AE009948,AE009948.1,5600,9599,4000,0,"[3.441171646118164, -3.797797679901123]","[0.9992825388908386, 0.0007175362552516162]"
AE009948,AE009948.1,5700,9699,4000,0,"[3.3064470291137695, -3.6603386402130127]","[0.999058187007904, 0.0009417905239388347]"
AE009948,AE009948.1,5800,9799,4000,0,"[3.4989051818847656, -3.8571643829345703]","[0.9993616938591003, 0.0006382962455973029]"
AE009948,AE009948.1,5900,9899,4000,0,"[3.5134994983673096, -3.871077060699463]","[0.9993796348571777, 0.000620368227828294]"
AE009948,AE009948.1,6000,9999,4000,0,"[3.5182268619537354, -3.875399589538574]","[0.9993852376937866, 0.0006147830281406641]"
AE009948,AE009948.1,6100,10099,4000,0,"[3.5056240558624268, -3.864175796508789]","[0.9993703961372375, 0.0006295978091657162]"
AE009948,AE009948.1,6200,10199,4000,0,"[3.5166006088256836, -3.873945713043213]","[0.9993833303451538, 0.0006166782695800066]"
AE009948,AE009948.1,6300,10299,4000,0,"[3.509999990463257, -3.8674473762512207]","[0.9993751645088196, 0.0006248042336665094]"
AE009948,AE009948.1,6400,10399,4000,0,"[3.468125581741333, -3.8270983695983887]","[0.999321699142456, 0.0006783123244531453]"
AE009948,AE009948.1,6500,10499,4000,0,"[3.4806880950927734, -3.8384859561920166]","[0.9993377327919006, 0.0006622705841436982]"
AE009948,AE009948.1,6600,10599,4000,0,"[3.443295478820801, -3.8031857013702393]","[0.9992879033088684, 0.0007121704402379692]"
AE009948,AE009948.1,6700,10699,4000,0,"[3.4887237548828125, -3.847135305404663]","[0.9993487000465393, 0.0006513191037811339]"
AE009948,AE009948.1,6800,10799,4000,0,"[3.5055956840515137, -3.8627209663391113]","[0.9993694424629211, 0.0006305315182544291]"
AE009948,AE009948.1,6900,10899,4000,0,"[3.5111045837402344, -3.86755633354187]","[0.9993759989738464, 0.0006240467191673815]"
AE009948,AE009948.1,7000,10999,4000,0,"[3.4991848468780518, -3.856299877166748]","[0.9993613362312317, 0.0006386692402884364]"
AE009948,AE009948.1,7100,11099,4000,0,"[3.482804775238037, -3.8407421112060547]","[0.9993405938148499, 0.0006593826692551374]"
AE009948,AE009948.1,7200,11199,4000,0,"[3.451831817626953, -3.8092799186706543]","[0.999298095703125, 0.0007018338073976338]"
AE009948,AE009948.1,7300,11299,4000,0,"[3.4224886894226074, -3.779374837875366]","[0.999255359172821, 0.0007446411182172596]"
AE009948,AE009948.1,7400,11399,4000,0,"[3.4583189487457275, -3.815882921218872]","[0.9993072748184204, 0.000692712957970798]"
AE009948,AE009948.1,7500,11499,4000,0,"[3.4785354137420654, -3.836390495300293]","[0.9993348717689514, 0.0006650877767242491]"
AE009948,AE009948.1,7600,11599,4000,0,"[3.4684362411499023, -3.827815294265747]","[0.9993224143981934, 0.0006776165100745857]"
AE009948,AE009948.1,7700,11699,4000,0,"[3.475787878036499, -3.834503173828125]","[0.9993317723274231, 0.0006681754603050649]"
AE009948,AE009948.1,7800,11799,4000,0,"[3.4023211002349854, -3.7589426040649414]","[0.9992245435714722, 0.0007754716207273304]"
AE009948,AE009948.1,7900,11899,4000,0,"[3.4744913578033447, -3.8326616287231445]","[0.9993298053741455, 0.0006702745449729264]"
AE009948,AE009948.1,8000,11999,4000,0,"[3.499178171157837, -3.85709810256958]","[0.9993618130683899, 0.0006381642306223512]"
AE009948,AE009948.1,8100,12099,4000,0,"[3.51900053024292, -3.8760435581207275]","[0.9993860721588135, 0.0006139122997410595]"
AE009948,AE009948.1,8200,12199,4000,0,"[3.522364854812622, -3.878791093826294]","[0.9993897676467896, 0.0006101740291342139]"
AE009948,AE009948.1,8300,12299,4000,0,"[3.5025815963745117, -3.8601129055023193]","[0.9993659853935242, 0.0006340841064229608]"
AE009948,AE009948.1,8400,12399,4000,0,"[3.433192014694214, -3.789940357208252]","[0.9992709755897522, 0.0007289820932783186]"
AE009948,AE009948.1,8500,12499,4000,0,"[3.2499661445617676, -3.601189613342285]","[0.9989429116249084, 0.0010571132879704237]"
AE009948,AE009948.1,8600,12599,4000,0,"[3.2115261554718018, -3.5626449584960938]","[0.9988584518432617, 0.0011416131164878607]"
AE009948,AE009948.1,8700,12699,4000,0,"[3.3573226928710938, -3.714444398880005]","[0.9991519451141357, 0.000848012394271791]"
AE009948,AE009948.1,8800,12799,4000,0,"[3.4527740478515625, -3.810356378555298]","[0.9992995262145996, 0.0007004195940680802]"
AE009948,AE009948.1,8900,12899,4000,0,"[3.4791195392608643, -3.8364555835723877]","[0.9993353486061096, 0.0006646565743722022]"
AE009948,AE009948.1,9000,12999,4000,0,"[3.415954113006592, -3.7747585773468018]","[0.9992470741271973, 0.0007529843715019524]"
AE009948,AE009948.1,9100,13099,4000,0,"[3.450423240661621, -3.808546781539917]","[0.9992966651916504, 0.0007033373694866896]"
AE009948,AE009948.1,9200,13199,4000,0,"[3.466503620147705, -3.8254599571228027]","[0.9993194341659546, 0.0006805261364206672]"
AE009948,AE009948.1,9300,13299,4000,0,"[3.2084226608276367, -3.5582950115203857]","[0.9988498687744141, 0.0011501433327794075]"
AE009948,AE009948.1,9400,13399,4000,0,"[3.2366063594818115, -3.587202787399292]","[0.9989136457443237, 0.0010863888310268521]"
AE009948,AE009948.1,9500,13499,4000,0,"[2.4647700786590576, -2.7399771213531494]","[0.9945395588874817, 0.005460457876324654]"
AE009948,AE009948.1,9600,13599,4000,0,"[3.3361151218414307, -3.692331075668335]","[0.999114453792572, 0.000885522982571274]"
AE009948,AE009948.1,9700,13699,4000,0,"[3.443056344985962, -3.8036839962005615]","[0.999288022518158, 0.0007119858055375516]"
AE009948,AE009948.1,9800,13799,4000,0,"[3.429046392440796, -3.7882277965545654]","[0.9992666840553284, 0.0007332617533393204]"
AE009948,AE009948.1,9900,13899,4000,0,"[3.293581008911133, -3.6466517448425293]","[0.9990328550338745, 0.0009671080624684691]"
AE009948,AE009948.1,10000,13999,4000,0,"[3.4537301063537598, -3.8121769428253174]","[0.999301552772522, 0.0006984786014072597]"
AE009948,AE009948.1,10100,14099,4000,0,"[3.487581968307495, -3.8465471267700195]","[0.9993475079536438, 0.0006524460623040795]"
AE009948,AE009948.1,10200,14199,4000,0,"[3.4895083904266357, -3.8477823734283447]","[0.9993496537208557, 0.0006503881304524839]"
AE009948,AE009948.1,10300,14299,4000,0,"[3.5049283504486084, -3.8627467155456543]","[0.9993690848350525, 0.0006309361197054386]"
AE009948,AE009948.1,10400,14399,4000,0,"[3.50954270362854, -3.867889404296875]","[0.9993751645088196, 0.0006248137797228992]"
AE009948,AE009948.1,10500,14499,4000,0,"[3.4977662563323975, -3.856550693511963]","[0.9993606209754944, 0.0006394153460860252]"
AE009948,AE009948.1,10600,14599,4000,0,"[3.4790351390838623, -3.839479446411133]","[0.9993372559547424, 0.0006627069087699056]"
AE009948,AE009948.1,10700,14699,4000,0,"[3.4846177101135254, -3.8443219661712646]","[0.9993441700935364, 0.0006558388704434037]"
AE009948,AE009948.1,10800,14799,4000,0,"[3.4836010932922363, -3.8420894145965576]","[0.9993420243263245, 0.0006579717737622559]"
