name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
BA000018,BA000018.3,0,3999,4000,0,"[3.524076223373413, -3.8813669681549072]","[0.9993923902511597, 0.0006075652781873941]"
BA000018,BA000018.3,100,4099,4000,0,"[3.5313098430633545, -3.8872761726379395]","[0.9994003772735596, 0.0005996372783556581]"
BA000018,BA000018.3,200,4199,4000,0,"[3.5308330059051514, -3.8868110179901123]","[0.9993997812271118, 0.0006002018926665187]"
BA000018,BA000018.3,300,4299,4000,0,"[3.5266857147216797, -3.8837239742279053]","[0.999395489692688, 0.0006045569898560643]"
BA000018,BA000018.3,400,4399,4000,0,"[3.5238163471221924, -3.880901336669922]","[0.999392032623291, 0.0006080061430111527]"
BA000018,BA000018.3,500,4499,4000,0,"[3.5201752185821533, -3.877356767654419]","[0.9993876218795776, 0.0006123879575170577]"
BA000018,BA000018.3,600,4599,4000,0,"[3.5174102783203125, -3.875516176223755]","[0.9993847608566284, 0.0006152132409624755]"
BA000018,BA000018.3,700,4699,4000,0,"[3.513146162033081, -3.8711159229278564]","[0.9993793964385986, 0.0006205633981153369]"
BA000018,BA000018.3,800,4799,4000,0,"[3.5105974674224854, -3.8682663440704346]","[0.999376118183136, 0.0006239203503355384]"
BA000018,BA000018.3,900,4899,4000,0,"[3.51859450340271, -3.8766393661499023]","[0.999386191368103, 0.0006137958844192326]"
BA000018,BA000018.3,1000,4999,4000,0,"[3.5197482109069824, -3.8773303031921387]","[0.999387264251709, 0.000612665549851954]"
BA000018,BA000018.3,1100,5099,4000,0,"[3.518336534500122, -3.8763039112091064]","[0.9993858337402344, 0.00061416020616889]"
BA000018,BA000018.3,1200,5199,4000,0,"[3.521679162979126, -3.8798601627349854]","[0.9993900060653687, 0.0006099402671679854]"
BA000018,BA000018.3,1300,5299,4000,0,"[3.523956298828125, -3.8818702697753906]","[0.9993926286697388, 0.0006073325057514012]"
BA000018,BA000018.3,1400,5399,4000,0,"[3.520796775817871, -3.879021406173706]","[0.9993890523910522, 0.0006109902751632035]"
BA000018,BA000018.3,1500,5499,4000,0,"[3.515747308731079, -3.874706983566284]","[0.9993832111358643, 0.0006167349056340754]"
BA000018,BA000018.3,1600,5599,4000,0,"[3.5075762271881104, -3.866177558898926]","[0.9993728995323181, 0.0006271149031817913]"
BA000018,BA000018.3,1700,5699,4000,0,"[3.5029819011688232, -3.8618083000183105]","[0.9993672966957092, 0.0006327577866613865]"
BA000018,BA000018.3,1800,5799,4000,0,"[3.4868621826171875, -3.846447467803955]","[0.9993470311164856, 0.0006529807578772306]"
BA000018,BA000018.3,1900,5899,4000,0,"[3.5137441158294678, -3.8709943294525146]","[0.9993797540664673, 0.000620267994236201]"
BA000018,BA000018.3,2000,5999,4000,0,"[3.497281074523926, -3.8563036918640137]","[0.9993601441383362, 0.0006398832192644477]"
BA000018,BA000018.3,2100,6099,4000,0,"[3.5183639526367188, -3.875481367111206]","[0.9993853569030762, 0.0006146482774056494]"
BA000018,BA000018.3,2200,6199,4000,0,"[3.522266149520874, -3.878965377807617]","[0.9993898868560791, 0.0006101278704591095]"
BA000018,BA000018.3,2300,6299,4000,0,"[3.5243403911590576, -3.880899429321289]","[0.9993922710418701, 0.0006076885620132089]"
BA000018,BA000018.3,2400,6399,4000,0,"[3.5309619903564453, -3.8871049880981445]","[0.9994000196456909, 0.0005999482236802578]"
BA000018,BA000018.3,2500,6499,4000,0,"[3.528437852859497, -3.884418487548828]","[0.9993969202041626, 0.0006030808435752988]"
BA000018,BA000018.3,2600,6599,4000,0,"[3.516745090484619, -3.8738491535186768]","[0.9993833303451538, 0.0006166485254652798]"
BA000018,BA000018.3,2700,6699,4000,0,"[3.5164077281951904, -3.8736608028411865]","[0.9993829727172852, 0.0006169727421365678]"
BA000018,BA000018.3,2800,6799,4000,0,"[3.5200841426849365, -3.877439022064209]","[0.9993876218795776, 0.0006123934872448444]"
BA000018,BA000018.3,2900,6899,4000,0,"[3.5241243839263916, -3.881620168685913]","[0.9993926286697388, 0.0006073822733014822]"
BA000018,BA000018.3,3000,6999,4000,0,"[3.523352861404419, -3.881037950515747]","[0.9993917942047119, 0.0006082046311348677]"
BA000018,BA000018.3,3100,7099,4000,0,"[3.521779775619507, -3.8792784214019775]","[0.9993897676467896, 0.0006102336919866502]"
BA000018,BA000018.3,3200,7199,4000,0,"[3.5208513736724854, -3.876774311065674]","[0.9993876218795776, 0.0006123304483480752]"
BA000018,BA000018.3,3300,7299,4000,0,"[3.5158298015594482, -3.87103271484375]","[0.9993810653686523, 0.0006189525593072176]"
BA000018,BA000018.3,3400,7399,4000,0,"[3.5171241760253906, -3.8726038932800293]","[0.999382734298706, 0.0006171826389618218]"
BA000018,BA000018.3,3500,7499,4000,0,"[3.498633861541748, -3.8544957637786865]","[0.9993597865104675, 0.0006401744321919978]"
BA000018,BA000018.3,3600,7599,4000,0,"[3.486405849456787, -3.842756509780884]","[0.9993442893028259, 0.0006556925945915282]"
BA000018,BA000018.3,3700,7699,4000,0,"[3.466881275177002, -3.823439121246338]","[0.9993183612823486, 0.0006816445384174585]"
BA000018,BA000018.3,3800,7799,4000,0,"[3.4914021492004395, -3.8495991230010986]","[0.9993520379066467, 0.0006479806615971029]"
BA000018,BA000018.3,3900,7899,4000,0,"[3.4987664222717285, -3.8566482067108154]","[0.9993613362312317, 0.0006387142930179834]"
