name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
BX248353,BX248353.1,0,3999,4000,0,"[3.518678903579712, -3.8763182163238525]","[0.9993860721588135, 0.0006139413453638554]"
BX248353,BX248353.1,100,4099,4000,0,"[3.5233314037323, -3.8810343742370605]","[0.9993917942047119, 0.0006082199979573488]"
BX248353,BX248353.1,200,4199,4000,0,"[3.524118423461914, -3.8822057247161865]","[0.9993929862976074, 0.0006070304661989212]"
BX248353,BX248353.1,300,4299,4000,0,"[3.511658191680908, -3.872437000274658]","[0.9993792772293091, 0.0006206668331287801]"
BX248353,BX248353.1,400,4399,4000,0,"[3.5261635780334473, -3.884597063064575]","[0.9993956089019775, 0.0006043449393473566]"
BX248353,BX248353.1,500,4499,4000,0,"[3.528071165084839, -3.8856394290924072]","[0.9993973970413208, 0.0006025659968145192]"
BX248353,BX248353.1,600,4599,4000,0,"[3.531221628189087, -3.8880443572998047]","[0.9994007349014282, 0.0005992299411445856]"
BX248353,BX248353.1,700,4699,4000,0,"[3.5319321155548096, -3.8887882232666016]","[0.9994016885757446, 0.0005983596201986074]"
BX248353,BX248353.1,800,4799,4000,0,"[3.5252480506896973, -3.883009195327759]","[0.9993941783905029, 0.0006058588624000549]"
BX248353,BX248353.1,900,4899,4000,0,"[3.5231964588165283, -3.8809096813201904]","[0.9993915557861328, 0.0006083776243031025]"
BX248353,BX248353.1,1000,4999,4000,0,"[3.5260519981384277, -3.8833093643188477]","[0.9993947744369507, 0.0006051908130757511]"
BX248353,BX248353.1,1100,5099,4000,0,"[3.5268146991729736, -3.884702205657959]","[0.9993960857391357, 0.0006038883584551513]"
BX248353,BX248353.1,1200,5199,4000,0,"[3.5240020751953125, -3.882063388824463]","[0.9993927478790283, 0.0006071875104680657]"
BX248353,BX248353.1,1300,5299,4000,0,"[3.5264058113098145, -3.8838982582092285]","[0.9993953704833984, 0.0006046209600754082]"
BX248353,BX248353.1,1400,5399,4000,0,"[3.526556968688965, -3.884406566619873]","[0.9993957281112671, 0.0006042225868441164]"
BX248353,BX248353.1,1500,5499,4000,0,"[3.5255210399627686, -3.8835318088531494]","[0.9993946552276611, 0.0006053774268366396]"
BX248353,BX248353.1,1600,5599,4000,0,"[3.525902032852173, -3.883918285369873]","[0.9993951320648193, 0.0006049131625331938]"
BX248353,BX248353.1,1700,5699,4000,0,"[3.528596878051758, -3.885772943496704]","[0.999397873878479, 0.0006021693116053939]"
BX248353,BX248353.1,1800,5799,4000,0,"[3.5281078815460205, -3.88531231880188]","[0.9993972778320312, 0.0006027409108355641]"
BX248353,BX248353.1,1900,5899,4000,0,"[3.528660297393799, -3.8850982189178467]","[0.9993975162506104, 0.0006025373586453497]"
BX248353,BX248353.1,2000,5999,4000,0,"[3.52668833732605, -3.88371205329895]","[0.9993953704833984, 0.0006045626942068338]"
BX248353,BX248353.1,2100,6099,4000,0,"[3.5252866744995117, -3.8821160793304443]","[0.9993935823440552, 0.0006063764449208975]"
BX248353,BX248353.1,2200,6199,4000,0,"[3.5295300483703613, -3.8865363597869873]","[0.9993988275527954, 0.0006011491641402245]"
BX248353,BX248353.1,2300,6299,4000,0,"[3.5289883613586426, -3.886070728302002]","[0.9993982315063477, 0.0006017544656060636]"
BX248353,BX248353.1,2400,6399,4000,0,"[3.53037166595459, -3.887281894683838]","[0.9993997812271118, 0.0006001961883157492]"
BX248353,BX248353.1,2500,6499,4000,0,"[3.5229544639587402, -3.880991220474243]","[0.9993915557861328, 0.0006084751221351326]"
BX248353,BX248353.1,2600,6599,4000,0,"[3.5224106311798096, -3.880748748779297]","[0.9993910789489746, 0.000608953763730824]"
BX248353,BX248353.1,2700,6699,4000,0,"[3.5228822231292725, -3.881483793258667]","[0.9993917942047119, 0.0006082197069190443]"
BX248353,BX248353.1,2800,6799,4000,0,"[3.5154855251312256, -3.8740732669830322]","[0.999382734298706, 0.0006172871217131615]"
BX248353,BX248353.1,2900,6899,4000,0,"[3.520658016204834, -3.879443645477295]","[0.9993891716003418, 0.0006108172819949687]"
