name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
MEES01000009,MEES01000009.1,0,3999,4000,0,"[3.5143883228302, -3.870659828186035]","[0.9993798732757568, 0.0006200761999934912]"
MEES01000009,MEES01000009.1,100,4099,4000,0,"[3.515496253967285, -3.8721723556518555]","[0.9993815422058105, 0.0006184543017297983]"
MEES01000009,MEES01000009.1,200,4199,4000,0,"[3.5068747997283936, -3.8635027408599854]","[0.9993707537651062, 0.0006292341859079897]"
MEES01000009,MEES01000009.1,300,4299,4000,0,"[3.504220962524414, -3.8614730834960938]","[0.9993677735328674, 0.0006321862456388772]"
MEES01000009,MEES01000009.1,400,4399,4000,0,"[3.5070178508758545, -3.8635411262512207]","[0.9993708729743958, 0.0006291202735155821]"
MEES01000009,MEES01000009.1,500,4499,4000,0,"[3.5098612308502197, -3.8662986755371094]","[0.9993744492530823, 0.0006256087217479944]"
MEES01000009,MEES01000009.1,600,4599,4000,0,"[3.5137176513671875, -3.870776653289795]","[0.9993795156478882, 0.0006204192759469151]"
MEES01000009,MEES01000009.1,700,4699,4000,0,"[3.513538122177124, -3.8702938556671143]","[0.9993791580200195, 0.0006208301638253033]"
MEES01000009,MEES01000009.1,800,4799,4000,0,"[3.5138535499572754, -3.8704893589019775]","[0.9993795156478882, 0.0006205131066963077]"
MEES01000009,MEES01000009.1,900,4899,4000,0,"[3.5129151344299316, -3.8696765899658203]","[0.9993783235549927, 0.0006216001347638667]"
MEES01000009,MEES01000009.1,1000,4999,4000,0,"[3.512312412261963, -3.868896245956421]","[0.9993775486946106, 0.0006224600365385413]"
MEES01000009,MEES01000009.1,1100,5099,4000,0,"[3.510991096496582, -3.867435932159424]","[0.9993758797645569, 0.0006241927621886134]"
MEES01000009,MEES01000009.1,1200,5199,4000,0,"[3.507222890853882, -3.8641645908355713]","[0.9993714690208435, 0.0006285994895733893]"
MEES01000009,MEES01000009.1,1300,5299,4000,0,"[3.5046117305755615, -3.861579418182373]","[0.9993681311607361, 0.0006318724481388927]"
MEES01000009,MEES01000009.1,1400,5399,4000,0,"[3.510343551635742, -3.8674874305725098]","[0.9993754029273987, 0.0006245645927265286]"
MEES01000009,MEES01000009.1,1500,5499,4000,0,"[3.501513957977295, -3.857872724533081]","[0.9993638396263123, 0.0006361839477904141]"
MEES01000009,MEES01000009.1,1600,5599,4000,0,"[3.4986445903778076, -3.855283260345459]","[0.9993603825569153, 0.0006396640674211085]"
MEES01000009,MEES01000009.1,1700,5699,4000,0,"[3.4963295459747314, -3.8535780906677246]","[0.9993577599525452, 0.0006422388250939548]"
MEES01000009,MEES01000009.1,1800,5799,4000,0,"[3.494661331176758, -3.8519108295440674]","[0.9993556141853333, 0.0006443834863603115]"
MEES01000009,MEES01000009.1,1900,5899,4000,0,"[3.496868371963501, -3.854318380355835]","[0.999358594417572, 0.0006414185627363622]"
MEES01000009,MEES01000009.1,2000,5999,4000,0,"[3.496246814727783, -3.8542373180389404]","[0.9993581175804138, 0.0006418692064471543]"
MEES01000009,MEES01000009.1,2100,6099,4000,0,"[3.498840808868408, -3.8566057682037354]","[0.9993613362312317, 0.0006386936292983592]"
MEES01000009,MEES01000009.1,2200,6199,4000,0,"[3.494814157485962, -3.852989912033081]","[0.9993564486503601, 0.0006435905816033483]"
MEES01000009,MEES01000009.1,2300,6299,4000,0,"[3.497565746307373, -3.8557395935058594]","[0.9993599057197571, 0.000640061916783452]"
MEES01000009,MEES01000009.1,2400,6399,4000,0,"[3.5052692890167236, -3.8622119426727295]","[0.9993689656257629, 0.0006310581811703742]"
