name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
NC_000907,NC_000907.1,0,3999,4000,0,"[3.524263381958008, -3.8810529708862305]","[0.9993923902511597, 0.0006076422869227827]"
NC_000907,NC_000907.1,100,4099,4000,0,"[3.5263707637786865, -3.8837695121765137]","[0.9993952512741089, 0.0006047200295142829]"
NC_000907,NC_000907.1,200,4199,4000,0,"[3.523627996444702, -3.880819797515869]","[0.9993917942047119, 0.0006081700557842851]"
NC_000907,NC_000907.1,300,4299,4000,0,"[3.520791530609131, -3.8783106803894043]","[0.999388575553894, 0.0006114277639426291]"
NC_000907,NC_000907.1,400,4399,4000,0,"[3.515099048614502, -3.8732244968414307]","[0.9993818998336792, 0.0006180494674481452]"
NC_000907,NC_000907.1,500,4499,4000,0,"[3.5165770053863525, -3.874802350997925]","[0.999383807182312, 0.0006161649944260716]"
NC_000907,NC_000907.1,600,4599,4000,0,"[3.522613525390625, -3.880638360977173]","[0.9993910789489746, 0.0006088974187150598]"
NC_000907,NC_000907.1,700,4699,4000,0,"[3.5195939540863037, -3.8777456283569336]","[0.9993875026702881, 0.0006125055951997638]"
NC_000907,NC_000907.1,800,4799,4000,0,"[3.5215694904327393, -3.8795247077941895]","[0.9993897676467896, 0.0006102115730755031]"
NC_000907,NC_000907.1,900,4899,4000,0,"[3.524528980255127, -3.8824400901794434]","[0.9993933439254761, 0.0006066394853405654]"
NC_000907,NC_000907.1,1000,4999,4000,0,"[3.528050422668457, -3.885265588760376]","[0.9993971586227417, 0.0006028037751093507]"
NC_000907,NC_000907.1,1100,5099,4000,0,"[3.528195858001709, -3.884665012359619]","[0.9993969202041626, 0.0006030779331922531]"
NC_000907,NC_000907.1,1200,5199,4000,0,"[3.5243611335754395, -3.8815653324127197]","[0.9993927478790283, 0.0006072717951610684]"
NC_000907,NC_000907.1,1300,5299,4000,0,"[3.5200812816619873, -3.8783724308013916]","[0.9993882179260254, 0.0006118241581134498]"
NC_000907,NC_000907.1,1400,5399,4000,0,"[3.520321846008301, -3.878632068634033]","[0.9993884563446045, 0.0006115183350630105]"
NC_000907,NC_000907.1,1500,5499,4000,0,"[3.520404815673828, -3.8790857791900635]","[0.9993888139724731, 0.0006111906259320676]"
NC_000907,NC_000907.1,1600,5599,4000,0,"[3.52152419090271, -3.878699541091919]","[0.9993892908096313, 0.0006107427761889994]"
NC_000907,NC_000907.1,1700,5699,4000,0,"[3.522886276245117, -3.8802852630615234]","[0.9993910789489746, 0.0006089461967349052]"
NC_000907,NC_000907.1,1800,5799,4000,0,"[3.5244534015655518, -3.8816421031951904]","[0.9993928670883179, 0.0006071693496778607]"
NC_000907,NC_000907.1,1900,5899,4000,0,"[3.514556407928467, -3.8723793029785156]","[0.9993810653686523, 0.0006189074483700097]"
NC_000907,NC_000907.1,2000,5999,4000,0,"[3.513124465942383, -3.8708977699279785]","[0.9993792772293091, 0.0006207121186889708]"
NC_000907,NC_000907.1,2100,6099,4000,0,"[3.509673595428467, -3.867305278778076]","[0.9993749260902405, 0.0006250967271625996]"
