name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
BA000034,BA000034.2,0,3999,4000,0,"[3.962498188018799, -3.778756618499756]","[0.9995656609535217, 0.00043433724204078317]"
BA000034,BA000034.2,100,4099,4000,0,"[3.9809935092926025, -3.796464681625366]","[0.9995811581611633, 0.0004189005121588707]"
BA000034,BA000034.2,200,4199,4000,0,"[3.906358480453491, -3.726433753967285]","[0.9995158910751343, 0.0004840721085201949]"
BA000034,BA000034.2,300,4299,4000,0,"[3.905231237411499, -3.7253475189208984]","[0.9995148181915283, 0.00048514423542656004]"
BA000034,BA000034.2,400,4399,4000,0,"[3.8312175273895264, -3.654937744140625]","[0.999439537525177, 0.0005604804609902203]"
BA000034,BA000034.2,500,4499,4000,0,"[3.9661362171173096, -3.7825534343719482]","[0.9995688796043396, 0.0004311213851906359]"
BA000034,BA000034.2,600,4599,4000,0,"[3.953892707824707, -3.7709076404571533]","[0.9995583891868591, 0.0004415400617290288]"
BA000034,BA000034.2,700,4699,4000,0,"[4.010605335235596, -3.8245136737823486]","[0.9996046423912048, 0.0003954387502744794]"
BA000034,BA000034.2,800,4799,4000,0,"[4.002615451812744, -3.8170247077941895]","[0.9995984435081482, 0.0004016048915218562]"
BA000034,BA000034.2,900,4899,4000,0,"[3.9813740253448486, -3.7971436977386475]","[0.999581515789032, 0.000418457027990371]"
BA000034,BA000034.2,1000,4999,4000,0,"[3.9874818325042725, -3.802631139755249]","[0.9995864033699036, 0.00041363495984114707]"
BA000034,BA000034.2,1100,5099,4000,0,"[4.022636890411377, -3.8353383541107178]","[0.9996134638786316, 0.0003865066100843251]"
BA000034,BA000034.2,1200,5199,4000,0,"[4.0306243896484375, -3.8428075313568115]","[0.9996193647384644, 0.0003805805172305554]"
BA000034,BA000034.2,1300,5299,4000,0,"[4.055296897888184, -3.8654792308807373]","[0.9996370077133179, 0.0003629884740803391]"
BA000034,BA000034.2,1400,5399,4000,0,"[4.045137405395508, -3.856287956237793]","[0.9996298551559448, 0.00037007845821790397]"
BA000034,BA000034.2,1500,5499,4000,0,"[4.029332637786865, -3.8415050506591797]","[0.999618411064148, 0.0003815688251052052]"
BA000034,BA000034.2,1600,5599,4000,0,"[4.028961658477783, -3.841179609298706]","[0.9996181726455688, 0.000381834659492597]"
BA000034,BA000034.2,1700,5699,4000,0,"[4.048371315002441, -3.8592259883880615]","[0.9996322393417358, 0.00036780216032639146]"
BA000034,BA000034.2,1800,5799,4000,0,"[4.033247470855713, -3.8454909324645996]","[0.9996213912963867, 0.00037856714334338903]"
