name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
BX248353,BX248353.1,0,3999,4000,0,"[3.998122453689575, -3.812898874282837]","[0.9995949864387512, 0.0004050798306707293]"
BX248353,BX248353.1,100,4099,4000,0,"[4.042175769805908, -3.853872776031494]","[0.999627947807312, 0.00037207294371910393]"
BX248353,BX248353.1,200,4199,4000,0,"[4.038303852081299, -3.8502142429351807]","[0.9996250867843628, 0.0003748842282220721]"
BX248353,BX248353.1,300,4299,4000,0,"[4.027435779571533, -3.8403584957122803]","[0.9996172189712524, 0.00038273149402812123]"
BX248353,BX248353.1,400,4399,4000,0,"[4.020637035369873, -3.8339507579803467]","[0.9996121525764465, 0.00038781759212724864]"
BX248353,BX248353.1,500,4499,4000,0,"[4.028864860534668, -3.8416860103607178]","[0.9996182918548584, 0.0003816781099885702]"
BX248353,BX248353.1,600,4599,4000,0,"[4.045043468475342, -3.856458902359009]","[0.9996299743652344, 0.00037004987825639546]"
BX248353,BX248353.1,700,4699,4000,0,"[4.055421829223633, -3.865743637084961]","[0.9996371269226074, 0.00036284729139879346]"
BX248353,BX248353.1,800,4799,4000,0,"[4.03792142868042, -3.849944829940796]","[0.9996248483657837, 0.0003751287586055696]"
BX248353,BX248353.1,900,4899,4000,0,"[4.0395941734313965, -3.851398229598999]","[0.9996260404586792, 0.0003739583189599216]"
BX248353,BX248353.1,1000,4999,4000,0,"[4.0377092361450195, -3.8496458530426025]","[0.9996246099472046, 0.0003753204655367881]"
BX248353,BX248353.1,1100,5099,4000,0,"[4.0388593673706055, -3.850783109664917]","[0.999625563621521, 0.00037446312489919364]"
BX248353,BX248353.1,1200,5199,4000,0,"[4.0135321617126465, -3.8273584842681885]","[0.9996069073677063, 0.00039316387847065926]"
BX248353,BX248353.1,1300,5299,4000,0,"[4.0094685554504395, -3.8237085342407227]","[0.999603807926178, 0.00039620714960619807]"
BX248353,BX248353.1,1400,5399,4000,0,"[4.010625839233398, -3.824626922607422]","[0.9996046423912048, 0.0003953859559260309]"
BX248353,BX248353.1,1500,5499,4000,0,"[4.010114669799805, -3.824054479598999]","[0.9996041655540466, 0.00039581433520652354]"
BX248353,BX248353.1,1600,5599,4000,0,"[4.021228313446045, -3.834132194519043]","[0.9996125102043152, 0.0003875180846080184]"
BX248353,BX248353.1,1700,5699,4000,0,"[4.038933753967285, -3.8502838611602783]","[0.9996253252029419, 0.000374622322851792]"
BX248353,BX248353.1,1800,5799,4000,0,"[4.039027690887451, -3.850262403488159]","[0.9996253252029419, 0.0003745951980818063]"
BX248353,BX248353.1,1900,5899,4000,0,"[4.040544509887695, -3.8517096042633057]","[0.9996265172958374, 0.00037348695332184434]"
BX248353,BX248353.1,2000,5999,4000,0,"[4.034468650817871, -3.8460795879364014]","[0.999622106552124, 0.00037788282497785985]"
BX248353,BX248353.1,2100,6099,4000,0,"[4.030309200286865, -3.8423023223876953]","[0.9996191263198853, 0.0003808928304351866]"
BX248353,BX248353.1,2200,6199,4000,0,"[4.021745204925537, -3.834528684616089]","[0.9996128678321838, 0.00038716450217179954]"
BX248353,BX248353.1,2300,6299,4000,0,"[3.978698253631592, -3.794283628463745]","[0.9995792508125305, 0.0004207791353110224]"
BX248353,BX248353.1,2400,6399,4000,0,"[3.983342170715332, -3.7986795902252197]","[0.9995830655097961, 0.0004169940948486328]"
BX248353,BX248353.1,2500,6499,4000,0,"[3.893685817718506, -3.714210271835327]","[0.9995037317276001, 0.0004962690873071551]"
BX248353,BX248353.1,2600,6599,4000,0,"[3.85420298576355, -3.676945209503174]","[0.999464213848114, 0.0005358352209441364]"
BX248353,BX248353.1,2700,6699,4000,0,"[3.9352476596832275, -3.7535219192504883]","[0.9995423555374146, 0.0004577318031806499]"
BX248353,BX248353.1,2800,6799,4000,0,"[3.9592530727386475, -3.776174783706665]","[0.9995631575584412, 0.00043687442666850984]"
BX248353,BX248353.1,2900,6899,4000,0,"[3.9925782680511475, -3.8073534965515137]","[0.9995904564857483, 0.0004095952317584306]"
BX248353,BX248353.1,3000,6999,4000,0,"[3.972550630569458, -3.788484573364258]","[0.9995741248130798, 0.00042583400500006974]"
BX248353,BX248353.1,3100,7099,4000,0,"[3.991929054260254, -3.8066444396972656]","[0.9995898604393005, 0.000410151609685272]"
BX248353,BX248353.1,3200,7199,4000,0,"[3.9789512157440186, -3.794447183609009]","[0.9995793700218201, 0.00042060387204401195]"
BX248353,BX248353.1,3300,7299,4000,0,"[3.9730076789855957, -3.7889766693115234]","[0.999574601650238, 0.00042543013114482164]"
BX248353,BX248353.1,3400,7399,4000,0,"[3.972076892852783, -3.788276195526123]","[0.9995738863945007, 0.00042612437391653657]"
BX248353,BX248353.1,3500,7499,4000,0,"[3.9918057918548584, -3.806591749191284]","[0.999589741230011, 0.00041022372897714376]"
BX248353,BX248353.1,3600,7599,4000,0,"[3.980694532394409, -3.7961513996124268]","[0.9995808005332947, 0.0004191569169051945]"
BX248353,BX248353.1,3700,7699,4000,0,"[3.9472618103027344, -3.764702081680298]","[0.9995527863502502, 0.00044724190956912935]"
BX248353,BX248353.1,3800,7799,4000,0,"[4.0088019371032715, -3.8226089477539062]","[0.9996030926704407, 0.00039690727135166526]"
BX248353,BX248353.1,3900,7899,4000,0,"[4.010223388671875, -3.8240041732788086]","[0.9996042847633362, 0.0003957913431804627]"
BX248353,BX248353.1,4000,7999,4000,0,"[3.972071886062622, -3.788180351257324]","[0.9995738863945007, 0.00042616744758561254]"
BX248353,BX248353.1,4100,8099,4000,0,"[3.981567144393921, -3.7971279621124268]","[0.9995816349983215, 0.00041838287143036723]"
BX248353,BX248353.1,4200,8199,4000,0,"[3.983607292175293, -3.7991292476654053]","[0.9995833039283752, 0.00041669601341709495]"
BX248353,BX248353.1,4300,8299,4000,0,"[3.949796676635742, -3.7673046588897705]","[0.9995550513267517, 0.0004449510888662189]"
BX248353,BX248353.1,4400,8399,4000,0,"[3.9254400730133057, -3.7442824840545654]","[0.9995335340499878, 0.00046652957098558545]"
BX248353,BX248353.1,4500,8499,4000,0,"[3.939659357070923, -3.757657766342163]","[0.9995461106300354, 0.0004538375942502171]"
BX248353,BX248353.1,4600,8599,4000,0,"[4.018144607543945, -3.8313229084014893]","[0.9996102452278137, 0.00038980768295004964]"
BX248353,BX248353.1,4700,8699,4000,0,"[4.0404253005981445, -3.8518178462982178]","[0.9996265172958374, 0.000373490882338956]"
BX248353,BX248353.1,4800,8799,4000,0,"[4.054681301116943, -3.864933967590332]","[0.9996365308761597, 0.00036341004306450486]"
BX248353,BX248353.1,4900,8899,4000,0,"[4.055781364440918, -3.865773916244507]","[0.999637246131897, 0.0003627058758866042]"
BX248353,BX248353.1,5000,8999,4000,0,"[4.046213150024414, -3.8570713996887207]","[0.9996305704116821, 0.00036939128767699003]"
BX248353,BX248353.1,5100,9099,4000,0,"[4.04852294921875, -3.8592116832733154]","[0.9996322393417358, 0.00036775163607671857]"
BX248353,BX248353.1,5200,9199,4000,0,"[4.051876544952393, -3.862283945083618]","[0.9996346235275269, 0.00036539699067361653]"
BX248353,BX248353.1,5300,9299,4000,0,"[4.0509843826293945, -3.861739158630371]","[0.9996340274810791, 0.0003659222857095301]"
BX248353,BX248353.1,5400,9399,4000,0,"[4.055492401123047, -3.8659768104553223]","[0.999637246131897, 0.0003627371625043452]"
BX248353,BX248353.1,5500,9499,4000,0,"[4.0530314445495605, -3.8638041019439697]","[0.9996355772018433, 0.0003644211683422327]"
BX248353,BX248353.1,5600,9599,4000,0,"[4.058742523193359, -3.8689498901367188]","[0.9996395111083984, 0.00036048758192919195]"
BX248353,BX248353.1,5700,9699,4000,0,"[4.048975944519043, -3.8602747917175293]","[0.9996328353881836, 0.00036719482159242034]"
BX248353,BX248353.1,5800,9799,4000,0,"[4.035768985748291, -3.848299980163574]","[0.9996234178543091, 0.00037655531195923686]"
BX248353,BX248353.1,5900,9899,4000,0,"[4.047115325927734, -3.858672857284546]","[0.9996315240859985, 0.0003684678813442588]"
BX248353,BX248353.1,6000,9999,4000,0,"[4.054967403411865, -3.8652360439300537]","[0.9996367692947388, 0.0003631965082604438]"
BX248353,BX248353.1,6100,10099,4000,0,"[4.048141002655029, -3.859090805053711]","[0.9996320009231567, 0.00036793662002310157]"
BX248353,BX248353.1,6200,10199,4000,0,"[4.038588523864746, -3.850456953048706]","[0.9996253252029419, 0.0003746866714209318]"
