name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
CP024912,CP024912.1,0,3999,4000,0,"[4.069725513458252, -3.878079652786255]","[0.9996466636657715, 0.00035331209073774517]"
CP024912,CP024912.1,100,4099,4000,0,"[4.070720672607422, -3.8789258003234863]","[0.9996473789215088, 0.0003526624641381204]"
CP024912,CP024912.1,200,4199,4000,0,"[4.070483684539795, -3.878720760345459]","[0.9996471405029297, 0.0003528183151502162]"
CP024912,CP024912.1,300,4299,4000,0,"[4.071093559265137, -3.8792052268981934]","[0.9996476173400879, 0.0003524325729813427]"
CP024912,CP024912.1,400,4399,4000,0,"[4.071552753448486, -3.879621744155884]","[0.999647855758667, 0.0003521240723785013]"
CP024912,CP024912.1,500,4499,4000,0,"[4.071676254272461, -3.879725217819214]","[0.9996479749679565, 0.00035204418236389756]"
CP024912,CP024912.1,600,4599,4000,0,"[4.069920539855957, -3.8782260417938232]","[0.999646782875061, 0.0003531915135681629]"
CP024912,CP024912.1,700,4699,4000,0,"[4.069173336029053, -3.877598524093628]","[0.9996463060379028, 0.00035367737291380763]"
CP024912,CP024912.1,800,4799,4000,0,"[4.069817066192627, -3.878190040588379]","[0.999646782875061, 0.0003532408445607871]"
CP024912,CP024912.1,900,4899,4000,0,"[4.06975793838501, -3.8781559467315674]","[0.9996466636657715, 0.00035327370278537273]"
CP024912,CP024912.1,1000,4999,4000,0,"[4.068526744842529, -3.877108097076416]","[0.9996459484100342, 0.00035407955874688923]"
CP024912,CP024912.1,1100,5099,4000,0,"[4.0662078857421875, -3.8751003742218018]","[0.99964439868927, 0.00035561432014219463]"
CP024912,CP024912.1,1200,5199,4000,0,"[4.0645222663879395, -3.8736393451690674]","[0.9996432065963745, 0.0003567345265764743]"
CP024912,CP024912.1,1300,5299,4000,0,"[4.063755035400391, -3.8729569911956787]","[0.9996427297592163, 0.0003572518180590123]"
CP024912,CP024912.1,1400,5399,4000,0,"[4.065211296081543, -3.874222993850708]","[0.9996436834335327, 0.0003562811471056193]"
CP024912,CP024912.1,1500,5499,4000,0,"[4.065737247467041, -3.874668836593628]","[0.9996440410614014, 0.0003559351898729801]"
CP024912,CP024912.1,1600,5599,4000,0,"[4.06644344329834, -3.875337839126587]","[0.9996445178985596, 0.00035544621641747653]"
CP024912,CP024912.1,1700,5699,4000,0,"[4.0679612159729, -3.87666916847229]","[0.9996455907821655, 0.00035443517845124006]"
CP024912,CP024912.1,1800,5799,4000,0,"[4.0678815841674805, -3.8766305446624756]","[0.999645471572876, 0.00035447702975943685]"
CP024912,CP024912.1,1900,5899,4000,0,"[4.0646514892578125, -3.87383770942688]","[0.9996433258056641, 0.0003566178784240037]"
CP024912,CP024912.1,2000,5999,4000,0,"[4.066799163818359, -3.8756959438323975]","[0.9996447563171387, 0.00035519248922355473]"
CP024912,CP024912.1,2100,6099,4000,0,"[4.064401149749756, -3.8734934329986572]","[0.9996432065963745, 0.0003568297834135592]"
CP024912,CP024912.1,2200,6199,4000,0,"[4.066783905029297, -3.8756558895111084]","[0.9996447563171387, 0.0003552121634129435]"
