name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
NBTT02000001,NBTT02000001.1,0,3999,4000,0,"[4.039539337158203, -3.8509469032287598]","[0.9996258020401001, 0.00037414749385789037]"
NBTT02000001,NBTT02000001.1,100,4099,4000,0,"[4.028553009033203, -3.8409717082977295]","[0.9996179342269897, 0.00038206984754651785]"
NBTT02000001,NBTT02000001.1,200,4199,4000,0,"[4.011694431304932, -3.8252551555633545]","[0.9996053576469421, 0.00039471598574891686]"
NBTT02000001,NBTT02000001.1,300,4299,4000,0,"[4.0290985107421875, -3.84157395362854]","[0.9996182918548584, 0.0003816319222096354]"
NBTT02000001,NBTT02000001.1,400,4399,4000,0,"[4.046658039093018, -3.8577592372894287]","[0.9996310472488403, 0.0003689733857754618]"
NBTT02000001,NBTT02000001.1,500,4499,4000,0,"[4.055227279663086, -3.8654348850250244]","[0.9996370077133179, 0.0003630300343502313]"
NBTT02000001,NBTT02000001.1,600,4599,4000,0,"[4.054590225219727, -3.864936113357544]","[0.9996365308761597, 0.0003634424356278032]"
NBTT02000001,NBTT02000001.1,700,4699,4000,0,"[4.050248622894287, -3.861050844192505]","[0.9996335506439209, 0.0003664434771053493]"
NBTT02000001,NBTT02000001.1,800,4799,4000,0,"[4.060405254364014, -3.8702433109283447]","[0.9996405839920044, 0.00035942383692599833]"
NBTT02000001,NBTT02000001.1,900,4899,4000,0,"[4.063836097717285, -3.8731157779693604]","[0.9996428489685059, 0.0003571663692127913]"
NBTT02000001,NBTT02000001.1,1000,4999,4000,0,"[4.066896438598633, -3.8756985664367676]","[0.9996448755264282, 0.00035515715717338026]"
NBTT02000001,NBTT02000001.1,1100,5099,4000,0,"[4.06733512878418, -3.8759849071502686]","[0.9996451139450073, 0.0003548997628968209]"
NBTT02000001,NBTT02000001.1,1200,5199,4000,0,"[4.067572593688965, -3.876228094100952]","[0.9996452331542969, 0.0003547292435541749]"
NBTT02000001,NBTT02000001.1,1300,5299,4000,0,"[4.067569255828857, -3.876221179962158]","[0.9996452331542969, 0.00035473296884447336]"
NBTT02000001,NBTT02000001.1,1400,5399,4000,0,"[4.068544387817383, -3.8770031929016113]","[0.9996458292007446, 0.00035411040880717337]"
NBTT02000001,NBTT02000001.1,1500,5499,4000,0,"[4.070777893066406, -3.8787829875946045]","[0.9996472597122192, 0.0003526925283949822]"
NBTT02000001,NBTT02000001.1,1600,5599,4000,0,"[4.071202754974365, -3.8790860176086426]","[0.9996476173400879, 0.00035243609454482794]"
NBTT02000001,NBTT02000001.1,1700,5699,4000,0,"[4.070505619049072, -3.8785555362701416]","[0.9996471405029297, 0.00035286875208839774]"
NBTT02000001,NBTT02000001.1,1800,5799,4000,0,"[4.070225715637207, -3.8783040046691895]","[0.9996469020843506, 0.0003530563262756914]"
