name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
AE014291,AE014291.4,0,3999,4000,0,"[3.4781107902526855, -3.8349950313568115]","[0.9993336796760559, 0.0006662989617325366]"
AE014291,AE014291.4,100,4099,4000,0,"[3.490874767303467, -3.847473382949829]","[0.9993502497673035, 0.0006497009308077395]"
AE014291,AE014291.4,200,4199,4000,0,"[3.4963266849517822, -3.8530454635620117]","[0.9993574023246765, 0.0006425828905776143]"
AE014291,AE014291.4,300,4299,4000,0,"[3.4819345474243164, -3.839043617248535]","[0.9993389248847961, 0.0006610775017179549]"
AE014291,AE014291.4,400,4399,4000,0,"[3.4856579303741455, -3.8433279991149902]","[0.9993441700935364, 0.0006558081950061023]"
AE014291,AE014291.4,500,4499,4000,0,"[3.4295740127563477, -3.787254810333252]","[0.9992664456367493, 0.0007335882401093841]"
AE014291,AE014291.4,600,4599,4000,0,"[3.4540956020355225, -3.812763214111328]","[0.9993021488189697, 0.0006978145684115589]"
AE014291,AE014291.4,700,4699,4000,0,"[3.46368408203125, -3.823153495788574]","[0.9993159770965576, 0.0006840210407972336]"
AE014291,AE014291.4,800,4799,4000,0,"[3.4677207469940186, -3.8279058933258057]","[0.9993219375610352, 0.0006780395051464438]"
AE014291,AE014291.4,900,4899,4000,0,"[3.4635567665100098, -3.823155403137207]","[0.9993158578872681, 0.0006841067806817591]"
AE014291,AE014291.4,1000,4999,4000,0,"[3.42063570022583, -3.7800447940826416]","[0.9992544054985046, 0.0007455214508809149]"
AE014291,AE014291.4,1100,5099,4000,0,"[3.429157257080078, -3.790513038635254]","[0.9992684721946716, 0.0007315082475543022]"
AE014291,AE014291.4,1200,5199,4000,0,"[3.452653408050537, -3.8132987022399902]","[0.999301552772522, 0.0006984472856856883]"
AE014291,AE014291.4,1300,5299,4000,0,"[3.4645581245422363, -3.8253121376037598]","[0.99931800365448, 0.0006819511763751507]"
AE014291,AE014291.4,1400,5399,4000,0,"[3.499389886856079, -3.8580844402313232]","[0.9993626475334167, 0.0006374007789418101]"
AE014291,AE014291.4,1500,5499,4000,0,"[3.4961540699005127, -3.853839874267578]","[0.9993578791618347, 0.0006421837606467307]"
AE014291,AE014291.4,1600,5599,4000,0,"[3.501389265060425, -3.8597683906555176]","[0.9993649125099182, 0.0006350589683279395]"
AE014291,AE014291.4,1700,5699,4000,0,"[3.494101047515869, -3.8523550033569336]","[0.9993554949760437, 0.0006444581085816026]"
AE014291,AE014291.4,1800,5799,4000,0,"[3.5069451332092285, -3.864823818206787]","[0.9993717074394226, 0.0006283599068410695]"
AE014291,AE014291.4,1900,5899,4000,0,"[3.501161813735962, -3.8591763973236084]","[0.99936443567276, 0.0006355791119858623]"
AE014291,AE014291.4,2000,5999,4000,0,"[3.495438575744629, -3.854377031326294]","[0.9993577599525452, 0.0006422982551157475]"
AE014291,AE014291.4,2100,6099,4000,0,"[3.5040230751037598, -3.8617677688598633]","[0.999367892742157, 0.000632125127594918]"
AE014291,AE014291.4,2200,6199,4000,0,"[3.4999048709869385, -3.8589677810668945]","[0.9993634819984436, 0.0006365108420141041]"
AE014291,AE014291.4,2300,6299,4000,0,"[3.490180015563965, -3.8472702503204346]","[0.9993496537208557, 0.0006502845208160579]"
AE014291,AE014291.4,2400,6399,4000,0,"[3.486237049102783, -3.8434200286865234]","[0.9993446469306946, 0.0006553686107508838]"
AE014291,AE014291.4,2500,6499,4000,0,"[3.465851306915283, -3.8257253170013428]","[0.9993191957473755, 0.0006807894678786397]"
AE014291,AE014291.4,2600,6599,4000,0,"[3.4810855388641357, -3.842343807220459]","[0.9993404746055603, 0.0006594602600671351]"
AE014291,AE014291.4,2700,6699,4000,0,"[3.4882149696350098, -3.8473856449127197]","[0.9993484616279602, 0.0006514873239211738]"
AE014291,AE014291.4,2800,6799,4000,0,"[3.473644971847534, -3.832876443862915]","[0.9993293285369873, 0.0006706974818371236]"
AE014291,AE014291.4,2900,6899,4000,0,"[3.4617934226989746, -3.8205392360687256]","[0.9993128776550293, 0.0006871075020171702]"
AE014291,AE014291.4,3000,6999,4000,0,"[3.4755587577819824, -3.835334300994873]","[0.9993322491645813, 0.0006677737692371011]"
AE014291,AE014291.4,3100,7099,4000,0,"[3.475189208984375, -3.8351612091064453]","[0.9993318915367126, 0.0006681360537186265]"
AE014291,AE014291.4,3200,7199,4000,0,"[3.477116107940674, -3.8380589485168457]","[0.9993351101875305, 0.000664922408759594]"
AE014291,AE014291.4,3300,7299,4000,0,"[3.4399027824401855, -3.800898790359497]","[0.9992838501930237, 0.0007162235560826957]"
