name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
BA000034,BA000034.2,0,3999,4000,0,"[3.5063211917877197, -3.864471197128296]","[0.9993709921836853, 0.0006289734155870974]"
BA000034,BA000034.2,100,4099,4000,0,"[3.4778265953063965, -3.836434841156006]","[0.9993343949317932, 0.0006655297474935651]"
BA000034,BA000034.2,200,4199,4000,0,"[3.4239089488983154, -3.782554864883423]","[0.999258816242218, 0.0007412257837131619]"
BA000034,BA000034.2,300,4299,4000,0,"[3.43953013420105, -3.798283576965332]","[0.9992817044258118, 0.0007183651905506849]"
BA000034,BA000034.2,400,4399,4000,0,"[3.2171993255615234, -3.5662307739257812]","[0.9988688826560974, 0.0011311032576486468]"
BA000034,BA000034.2,500,4499,4000,0,"[3.393035888671875, -3.7515852451324463]","[0.9992115497589111, 0.0007884751539677382]"
BA000034,BA000034.2,600,4599,4000,0,"[3.3647677898406982, -3.7220726013183594]","[0.9991647005081177, 0.0008353362209163606]"
BA000034,BA000034.2,700,4699,4000,0,"[3.4314322471618652, -3.7906546592712402]","[0.9992702603340149, 0.0007297439151443541]"
BA000034,BA000034.2,800,4799,4000,0,"[3.4488863945007324, -3.8080806732177734]","[0.9992952346801758, 0.0007047467515803874]"
BA000034,BA000034.2,900,4899,4000,0,"[3.267629384994507, -3.618300437927246]","[0.9989789724349976, 0.0010210216278210282]"
BA000034,BA000034.2,1000,4999,4000,0,"[3.2375566959381104, -3.585170269012451]","[0.9989124536514282, 0.0010875635780394077]"
BA000034,BA000034.2,1100,5099,4000,0,"[3.3041560649871826, -3.6582694053649902]","[0.9990541338920593, 0.0009459020802751184]"
BA000034,BA000034.2,1200,5199,4000,0,"[3.4092977046966553, -3.7702739238739014]","[0.9992386102676392, 0.0007614140049554408]"
BA000034,BA000034.2,1300,5299,4000,0,"[3.4793241024017334, -3.8398492336273193]","[0.9993377327919006, 0.0006622709333896637]"
BA000034,BA000034.2,1400,5399,4000,0,"[3.4541356563568115, -3.814373731613159]","[0.9993033409118652, 0.0006966646760702133]"
BA000034,BA000034.2,1500,5499,4000,0,"[3.44294810295105, -3.8036301136016846]","[0.9992879033088684, 0.0007121011149138212]"
BA000034,BA000034.2,1600,5599,4000,0,"[3.4453210830688477, -3.804809093475342]","[0.9992903470993042, 0.0007095780456438661]"
BA000034,BA000034.2,1700,5699,4000,0,"[3.497265577316284, -3.857201099395752]","[0.9993607401847839, 0.0006393196526914835]"
BA000034,BA000034.2,1800,5799,4000,0,"[3.49708890914917, -3.856191635131836]","[0.9993599057197571, 0.0006400778074748814]"
