name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
CP024912,CP024912.1,0,3999,4000,0,"[3.4898862838745117, -3.849111557006836]","[0.9993507266044617, 0.0006492794491350651]"
CP024912,CP024912.1,100,4099,4000,0,"[3.485650062561035, -3.8449275493621826]","[0.9993452429771423, 0.0006547658704221249]"
CP024912,CP024912.1,200,4199,4000,0,"[3.488872528076172, -3.848017454147339]","[0.9993492960929871, 0.0006506484351120889]"
CP024912,CP024912.1,300,4299,4000,0,"[3.4931893348693848, -3.8524210453033447]","[0.9993550181388855, 0.0006450028158724308]"
CP024912,CP024912.1,400,4399,4000,0,"[3.494262218475342, -3.8529374599456787]","[0.9993559718132019, 0.0006439794669859111]"
CP024912,CP024912.1,500,4499,4000,0,"[3.491476058959961, -3.850538969039917]","[0.9993526339530945, 0.0006473244866356254]"
CP024912,CP024912.1,600,4599,4000,0,"[3.481879234313965, -3.840934991836548]","[0.9993401169776917, 0.0006598657928407192]"
CP024912,CP024912.1,700,4699,4000,0,"[3.467538356781006, -3.827319860458374]","[0.999321460723877, 0.0006785606383346021]"
CP024912,CP024912.1,800,4799,4000,0,"[3.4791109561920166, -3.83829402923584]","[0.9993365406990051, 0.0006634424789808691]"
CP024912,CP024912.1,900,4899,4000,0,"[3.4850857257843018, -3.844264507293701]","[0.9993444085121155, 0.0006555694271810353]"
CP024912,CP024912.1,1000,4999,4000,0,"[3.4887173175811768, -3.847404956817627]","[0.9993488192558289, 0.0006511477986350656]"
CP024912,CP024912.1,1100,5099,4000,0,"[3.4714300632476807, -3.8305294513702393]","[0.999326229095459, 0.0006737620569765568]"
CP024912,CP024912.1,1200,5199,4000,0,"[3.472234010696411, -3.8319952487945557]","[0.9993277788162231, 0.0006722355610691011]"
CP024912,CP024912.1,1300,5299,4000,0,"[3.467386245727539, -3.8266608715057373]","[0.9993208646774292, 0.0006791104678995907]"
CP024912,CP024912.1,1400,5399,4000,0,"[3.4704043865203857, -3.830042600631714]","[0.9993252754211426, 0.0006747812731191516]"
CP024912,CP024912.1,1500,5499,4000,0,"[3.4770328998565674, -3.836195468902588]","[0.9993337988853455, 0.0006662170635536313]"
CP024912,CP024912.1,1600,5599,4000,0,"[3.4798030853271484, -3.8390235900878906]","[0.9993374943733215, 0.0006625004461966455]"
CP024912,CP024912.1,1700,5699,4000,0,"[3.4790008068084717, -3.838454246520996]","[0.9993365406990051, 0.000663408893160522]"
CP024912,CP024912.1,1800,5799,4000,0,"[3.4800615310668945, -3.8391809463500977]","[0.9993377327919006, 0.0006622251239605248]"
CP024912,CP024912.1,1900,5899,4000,0,"[3.4773688316345215, -3.836299419403076]","[0.9993340373039246, 0.0006659243954345584]"
CP024912,CP024912.1,2000,5999,4000,0,"[3.473588705062866, -3.832103729248047]","[0.9993287324905396, 0.0006712531903758645]"
CP024912,CP024912.1,2100,6099,4000,0,"[3.4677934646606445, -3.8267858028411865]","[0.9993212223052979, 0.0006787494639866054]"
CP024912,CP024912.1,2200,6199,4000,0,"[3.4704949855804443, -3.8296103477478027]","[0.9993250370025635, 0.0006750118336640298]"
CP024912,CP024912.1,2300,6299,4000,0,"[3.466191053390503, -3.8254241943359375]","[0.9993191957473755, 0.0006807628669776022]"
CP024912,CP024912.1,2400,6399,4000,0,"[3.467400550842285, -3.8269920349121094]","[0.9993211030960083, 0.0006788762402720749]"
CP024912,CP024912.1,2500,6499,4000,0,"[3.477088451385498, -3.836062431335449]","[0.9993336796760559, 0.0006662687519565225]"
CP024912,CP024912.1,2600,6599,4000,0,"[3.4747283458709717, -3.8346750736236572]","[0.9993312358856201, 0.0006687685963697731]"
CP024912,CP024912.1,2700,6699,4000,0,"[3.477947235107422, -3.8375751972198486]","[0.9993352293968201, 0.0006646917317993939]"
CP024912,CP024912.1,2800,6799,4000,0,"[3.4770164489746094, -3.8368372917175293]","[0.9993341565132141, 0.0006658009369857609]"
CP024912,CP024912.1,2900,6899,4000,0,"[3.479274272918701, -3.8393290042877197]","[0.999337375164032, 0.0006626481772400439]"
CP024912,CP024912.1,3000,6999,4000,0,"[3.487487554550171, -3.847074270248413]","[0.9993478655815125, 0.0006521642208099365]"
CP024912,CP024912.1,3100,7099,4000,0,"[3.489335775375366, -3.84845232963562]","[0.9993498921394348, 0.0006500648451037705]"
CP024912,CP024912.1,3200,7199,4000,0,"[3.4861321449279785, -3.8454113006591797]","[0.9993458390235901, 0.0006541343173012137]"
CP024912,CP024912.1,3300,7299,4000,0,"[3.4827661514282227, -3.8417325019836426]","[0.9993411898612976, 0.0006587557727470994]"
CP024912,CP024912.1,3400,7399,4000,0,"[3.483875036239624, -3.843276262283325]","[0.9993429780006409, 0.000657011813018471]"
CP024912,CP024912.1,3500,7499,4000,0,"[3.486384153366089, -3.8459949493408203]","[0.9993464350700378, 0.0006535881548188627]"
CP024912,CP024912.1,3600,7599,4000,0,"[3.4792346954345703, -3.8387515544891357]","[0.9993368983268738, 0.0006630567950196564]"
CP024912,CP024912.1,3700,7699,4000,0,"[3.478482961654663, -3.837815761566162]","[0.9993358254432678, 0.0006641763029620051]"
CP024912,CP024912.1,3800,7799,4000,0,"[3.487656831741333, -3.8475182056427]","[0.9993482232093811, 0.0006517646252177656]"
CP024912,CP024912.1,3900,7899,4000,0,"[3.497060775756836, -3.85593581199646]","[0.9993597865104675, 0.0006402592989616096]"
CP024912,CP024912.1,4000,7999,4000,0,"[3.4958109855651855, -3.8551552295684814]","[0.9993584752082825, 0.0006415597745217383]"
CP024912,CP024912.1,4100,8099,4000,0,"[3.5044949054718018, -3.863907814025879]","[0.9993695616722107, 0.0006304775015451014]"
CP024912,CP024912.1,4200,8199,4000,0,"[3.5102789402008057, -3.869436025619507]","[0.9993765950202942, 0.0006233897875063121]"
CP024912,CP024912.1,4300,8299,4000,0,"[3.5161938667297363, -3.874765396118164]","[0.9993835687637329, 0.0006164237856864929]"
CP024912,CP024912.1,4400,8399,4000,0,"[3.5223522186279297, -3.8802175521850586]","[0.999390721321106, 0.0006093124975450337]"
CP024912,CP024912.1,4500,8499,4000,0,"[3.522176504135132, -3.8798654079437256]","[0.9993903636932373, 0.0006096340366639197]"
CP024912,CP024912.1,4600,8599,4000,0,"[3.5261330604553223, -3.8831772804260254]","[0.9993947744369507, 0.0006052216631360352]"
CP024912,CP024912.1,4700,8699,4000,0,"[3.5250391960144043, -3.8818519115448]","[0.9993933439254761, 0.0006066869245842099]"
CP024912,CP024912.1,4800,8799,4000,0,"[3.521392345428467, -3.8788278102874756]","[0.9993892908096313, 0.0006107451627030969]"
CP024912,CP024912.1,4900,8899,4000,0,"[3.5221364498138428, -3.8794331550598145]","[0.9993900060653687, 0.0006099219317547977]"
CP024912,CP024912.1,5000,8999,4000,0,"[3.5244662761688232, -3.8815953731536865]","[0.9993927478790283, 0.0006071898387745023]"
CP024912,CP024912.1,5100,9099,4000,0,"[3.528259754180908, -3.8851959705352783]","[0.9993972778320312, 0.0006027193740010262]"
CP024912,CP024912.1,5200,9199,4000,0,"[3.5250697135925293, -3.882401704788208]","[0.9993937015533447, 0.0006063348846510053]"
CP024912,CP024912.1,5300,9299,4000,0,"[3.5239579677581787, -3.881633758544922]","[0.9993925094604492, 0.0006074749398976564]"
CP024912,CP024912.1,5400,9399,4000,0,"[3.525141954421997, -3.882324695587158]","[0.9993937015533447, 0.00060633773682639]"
CP024912,CP024912.1,5500,9499,4000,0,"[3.5247747898101807, -3.8817195892333984]","[0.999393105506897, 0.0006069274968467653]"
CP024912,CP024912.1,5600,9599,4000,0,"[3.5240635871887207, -3.8804755210876465]","[0.9993919134140015, 0.0006081144674681127]"
