name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
MEES01000006,MEES01000006.1,0,3999,4000,0,"[3.507845640182495, -3.864995241165161]","[0.9993723034858704, 0.0006276870844885707]"
MEES01000006,MEES01000006.1,100,4099,4000,0,"[3.508537530899048, -3.8660941123962402]","[0.9993734955787659, 0.0006265646661631763]"
MEES01000006,MEES01000006.1,200,4199,4000,0,"[3.5079610347747803, -3.8652288913726807]","[0.9993725419044495, 0.000627468223683536]"
MEES01000006,MEES01000006.1,300,4299,4000,0,"[3.5034515857696533, -3.8614602088928223]","[0.9993672966957092, 0.0006326805450953543]"
MEES01000006,MEES01000006.1,400,4399,4000,0,"[3.4979281425476074, -3.856346845626831]","[0.9993606209754944, 0.0006394422380253673]"
MEES01000006,MEES01000006.1,500,4499,4000,0,"[3.494884967803955, -3.852891445159912]","[0.9993564486503601, 0.0006436083931475878]"
MEES01000006,MEES01000006.1,600,4599,4000,0,"[3.4898009300231934, -3.84713077545166]","[0.9993494153022766, 0.000650621484965086]"
MEES01000006,MEES01000006.1,700,4699,4000,0,"[3.4799392223358154, -3.837878704071045]","[0.9993367791175842, 0.000663168728351593]"
MEES01000006,MEES01000006.1,800,4799,4000,0,"[3.4675345420837402, -3.8239870071411133]","[0.9993191957473755, 0.0006808268371969461]"
MEES01000006,MEES01000006.1,900,4899,4000,0,"[3.4700615406036377, -3.8270506858825684]","[0.9993230104446411, 0.0006770335603505373]"
MEES01000006,MEES01000006.1,1000,4999,4000,0,"[3.4637317657470703, -3.820132255554199]","[0.9993139505386353, 0.0006860566791146994]"
MEES01000006,MEES01000006.1,1100,5099,4000,0,"[3.4662024974823, -3.822925567626953]","[0.9993175268173218, 0.0006824570009484887]"
MEES01000006,MEES01000006.1,1200,5199,4000,0,"[3.4774677753448486, -3.8350794315338135]","[0.9993333220481873, 0.0006666708504781127]"
MEES01000006,MEES01000006.1,1300,5299,4000,0,"[3.4882164001464844, -3.8459088802337646]","[0.9993475079536438, 0.0006524485652334988]"
MEES01000006,MEES01000006.1,1400,5399,4000,0,"[3.4806268215179443, -3.8379974365234375]","[0.999337375164032, 0.0006626342656090856]"
MEES01000006,MEES01000006.1,1500,5499,4000,0,"[3.4797918796539307, -3.8378357887268066]","[0.9993366599082947, 0.000663294515106827]"
MEES01000006,MEES01000006.1,1600,5599,4000,0,"[3.4751293659210205, -3.833364248275757]","[0.9993306398391724, 0.0006693769246339798]"
MEES01000006,MEES01000006.1,1700,5699,4000,0,"[3.4850406646728516, -3.842876672744751]","[0.9993434548377991, 0.0006565091898664832]"
MEES01000006,MEES01000006.1,1800,5799,4000,0,"[3.496173143386841, -3.854635238647461]","[0.9993583559989929, 0.0006416612304747105]"
MEES01000006,MEES01000006.1,1900,5899,4000,0,"[3.493795156478882, -3.852492332458496]","[0.9993553757667542, 0.0006445664912462234]"
MEES01000006,MEES01000006.1,2000,5999,4000,0,"[3.4949429035186768, -3.85335373878479]","[0.9993566870689392, 0.0006432737573049963]"
MEES01000006,MEES01000006.1,2100,6099,4000,0,"[3.4945788383483887, -3.853029489517212]","[0.9993563294410706, 0.0006437163101509213]"
MEES01000006,MEES01000006.1,2200,6199,4000,0,"[3.50115704536438, -3.859936475753784]","[0.9993649125099182, 0.0006350995390675962]"
MEES01000006,MEES01000006.1,2300,6299,4000,0,"[3.4930851459503174, -3.8519644737243652]","[0.9993546605110168, 0.0006453644018620253]"
MEES01000006,MEES01000006.1,2400,6399,4000,0,"[3.490067720413208, -3.8489387035369873]","[0.9993507266044617, 0.0006492739194072783]"
MEES01000006,MEES01000006.1,2500,6499,4000,0,"[3.5000951290130615, -3.857771158218384]","[0.9993628859519958, 0.0006371511844918132]"
MEES01000006,MEES01000006.1,2600,6599,4000,0,"[3.5017759799957275, -3.859415292739868]","[0.9993650317192078, 0.0006350375479087234]"
MEES01000006,MEES01000006.1,2700,6699,4000,0,"[3.4892818927764893, -3.8462252616882324]","[0.9993484616279602, 0.0006515482091344893]"
MEES01000006,MEES01000006.1,2800,6799,4000,0,"[3.496738910675049, -3.8543944358825684]","[0.999358594417572, 0.0006414527888409793]"
MEES01000006,MEES01000006.1,2900,6899,4000,0,"[3.4823508262634277, -3.8403754234313965]","[0.9993401169776917, 0.0006599237094633281]"
MEES01000006,MEES01000006.1,3000,6999,4000,0,"[3.4670329093933105, -3.8246026039123535]","[0.999319314956665, 0.0006807493045926094]"
MEES01000006,MEES01000006.1,3100,7099,4000,0,"[3.4824585914611816, -3.8404762744903564]","[0.9993402361869812, 0.0006597859901376069]"
MEES01000006,MEES01000006.1,3200,7199,4000,0,"[3.4846906661987305, -3.842287063598633]","[0.9993428587913513, 0.0006571257836185396]"
MEES01000006,MEES01000006.1,3300,7299,4000,0,"[3.4881491661071777, -3.8457751274108887]","[0.9993473887443542, 0.0006525798235088587]"
MEES01000006,MEES01000006.1,3400,7399,4000,0,"[3.4888060092926025, -3.8463973999023438]","[0.9993482232093811, 0.0006517462898045778]"
MEES01000006,MEES01000006.1,3500,7499,4000,0,"[3.4878251552581787, -3.845319986343384]","[0.999346911907196, 0.000653088151011616]"
MEES01000006,MEES01000006.1,3600,7599,4000,0,"[3.4827778339385986, -3.8412563800811768]","[0.9993409514427185, 0.0006590616540051997]"
MEES01000006,MEES01000006.1,3700,7699,4000,0,"[3.482440710067749, -3.8405330181121826]","[0.9993402361869812, 0.0006597604951821268]"
MEES01000006,MEES01000006.1,3800,7799,4000,0,"[3.492587089538574, -3.850111484527588]","[0.9993531107902527, 0.0006468826322816312]"
MEES01000006,MEES01000006.1,3900,7899,4000,0,"[3.4952266216278076, -3.852707624435425]","[0.9993564486503601, 0.0006435068207792938]"
MEES01000006,MEES01000006.1,4000,7999,4000,0,"[3.497389078140259, -3.8543925285339355]","[0.9993589520454407, 0.0006410371861420572]"
MEES01000006,MEES01000006.1,4100,8099,4000,0,"[3.5001463890075684, -3.8585405349731445]","[0.999363362789154, 0.0006366288289427757]"
