name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
NBTT02000001,NBTT02000001.1,0,3999,4000,0,"[3.4045231342315674, -3.7633888721466064]","[0.9992296695709229, 0.0007703368901275098]"
NBTT02000001,NBTT02000001.1,100,4099,4000,0,"[3.3448991775512695, -3.70268177986145]","[0.9991312623023987, 0.0008687546360306442]"
NBTT02000001,NBTT02000001.1,200,4199,4000,0,"[3.203284740447998, -3.557929754257202]","[0.9988434314727783, 0.0011564833112061024]"
NBTT02000001,NBTT02000001.1,300,4299,4000,0,"[3.2986741065979004, -3.6534037590026855]","[0.9990442395210266, 0.0009557309676893055]"
NBTT02000001,NBTT02000001.1,400,4399,4000,0,"[3.3652713298797607, -3.72308349609375]","[0.9991658926010132, 0.0008340731146745384]"
NBTT02000001,NBTT02000001.1,500,4499,4000,0,"[3.395925521850586, -3.756258487701416]","[0.9992173910140991, 0.0007825389038771391]"
NBTT02000001,NBTT02000001.1,600,4599,4000,0,"[3.3904671669006348, -3.749417304992676]","[0.9992077946662903, 0.0007922155782580376]"
NBTT02000001,NBTT02000001.1,700,4699,4000,0,"[3.4119489192962646, -3.770376205444336]","[0.9992407560348511, 0.0007593217887915671]"
NBTT02000001,NBTT02000001.1,800,4799,4000,0,"[3.4344325065612793, -3.7922415733337402]","[0.9992735981941223, 0.0007264064624905586]"
NBTT02000001,NBTT02000001.1,900,4899,4000,0,"[3.4829723834991455, -3.8423218727111816]","[0.9993417859077454, 0.0006582321366295218]"
NBTT02000001,NBTT02000001.1,1000,4999,4000,0,"[3.503368616104126, -3.8621389865875244]","[0.9993676543235779, 0.0006323041161522269]"
NBTT02000001,NBTT02000001.1,1100,5099,4000,0,"[3.4977669715881348, -3.8571267127990723]","[0.999360978603363, 0.0006390467751771212]"
NBTT02000001,NBTT02000001.1,1200,5199,4000,0,"[3.496978759765625, -3.8567898273468018]","[0.9993602633476257, 0.0006397658726200461]"
NBTT02000001,NBTT02000001.1,1300,5299,4000,0,"[3.5032589435577393, -3.861762046813965]","[0.9993674159049988, 0.0006326118600554764]"
NBTT02000001,NBTT02000001.1,1400,5399,4000,0,"[3.5012857913970947, -3.8601677417755127]","[0.9993651509284973, 0.0006348710739985108]"
NBTT02000001,NBTT02000001.1,1500,5499,4000,0,"[3.506317615509033, -3.8650565147399902]","[0.9993714690208435, 0.0006286079296842217]"
NBTT02000001,NBTT02000001.1,1600,5599,4000,0,"[3.4908504486083984, -3.8502955436706543]","[0.9993521571159363, 0.0006478871218860149]"
NBTT02000001,NBTT02000001.1,1700,5699,4000,0,"[3.4879915714263916, -3.847210168838501]","[0.9993482232093811, 0.0006517472211271524]"
NBTT02000001,NBTT02000001.1,1800,5799,4000,0,"[3.489447593688965, -3.849881649017334]","[0.9993509650230408, 0.0006490644882433116]"
NBTT02000001,NBTT02000001.1,1900,5899,4000,0,"[3.4941492080688477, -3.85430645942688]","[0.9993568062782288, 0.000643171661067754]"
NBTT02000001,NBTT02000001.1,2000,5999,4000,0,"[3.493544816970825, -3.8532965183258057]","[0.9993557333946228, 0.0006442099693231285]"
NBTT02000001,NBTT02000001.1,2100,6099,4000,0,"[3.499443531036377, -3.858133554458618]","[0.9993626475334167, 0.0006373351789079607]"
NBTT02000001,NBTT02000001.1,2200,6199,4000,0,"[3.5086731910705566, -3.8665685653686523]","[0.9993738532066345, 0.0006261828821152449]"
NBTT02000001,NBTT02000001.1,2300,6299,4000,0,"[3.5037548542022705, -3.861333131790161]","[0.9993674159049988, 0.0006325693102553487]"
NBTT02000001,NBTT02000001.1,2400,6399,4000,0,"[3.5064456462860107, -3.8645663261413574]","[0.9993712306022644, 0.0006288355798460543]"
NBTT02000001,NBTT02000001.1,2500,6499,4000,0,"[3.5245885848999023, -3.881272077560425]","[0.9993926286697388, 0.0006073116674087942]"
NBTT02000001,NBTT02000001.1,2600,6599,4000,0,"[3.52345609664917, -3.8812127113342285]","[0.9993919134140015, 0.000608035596087575]"
NBTT02000001,NBTT02000001.1,2700,6699,4000,0,"[3.524576425552368, -3.881786346435547]","[0.9993929862976074, 0.0006070072995498776]"
NBTT02000001,NBTT02000001.1,2800,6799,4000,0,"[3.522641658782959, -3.8802194595336914]","[0.9993908405303955, 0.0006091350805945694]"
NBTT02000001,NBTT02000001.1,2900,6899,4000,0,"[3.5161633491516113, -3.8743736743927]","[0.9993833303451538, 0.0006166838575154543]"
NBTT02000001,NBTT02000001.1,3000,6999,4000,0,"[3.504796028137207, -3.8644022941589355]","[0.9993700385093689, 0.0006299762171693146]"
NBTT02000001,NBTT02000001.1,3100,7099,4000,0,"[3.511042594909668, -3.8709166049957275]","[0.999377965927124, 0.0006219933275133371]"
NBTT02000001,NBTT02000001.1,3200,7199,4000,0,"[3.5240564346313477, -3.8816723823547363]","[0.9993926286697388, 0.0006073918775655329]"
NBTT02000001,NBTT02000001.1,3300,7299,4000,0,"[3.519162654876709, -3.877605438232422]","[0.9993871450424194, 0.0006128555978648365]"
NBTT02000001,NBTT02000001.1,3400,7399,4000,0,"[3.5154826641082764, -3.87416672706604]","[0.999382734298706, 0.0006172312423586845]"
NBTT02000001,NBTT02000001.1,3500,7499,4000,0,"[3.5118584632873535, -3.871290922164917]","[0.9993786811828613, 0.0006212539738044143]"
NBTT02000001,NBTT02000001.1,3600,7599,4000,0,"[3.5056588649749756, -3.866825580596924]","[0.9993720650672913, 0.0006279108347371221]"
NBTT02000001,NBTT02000001.1,3700,7699,4000,0,"[3.512206554412842, -3.8715028762817383]","[0.99937903881073, 0.0006209061830304563]"
NBTT02000001,NBTT02000001.1,3800,7799,4000,0,"[3.5080084800720215, -3.8680076599121094]","[0.9993743300437927, 0.000625698477961123]"
NBTT02000001,NBTT02000001.1,3900,7899,4000,0,"[3.510751724243164, -3.8707499504089355]","[0.9993777275085449, 0.0006222776719368994]"
NBTT02000001,NBTT02000001.1,4000,7999,4000,0,"[3.5093376636505127, -3.869631767272949]","[0.999376118183136, 0.0006238545756787062]"
NBTT02000001,NBTT02000001.1,4100,8099,4000,0,"[3.5096242427825928, -3.8697822093963623]","[0.9993764758110046, 0.0006235820474103093]"
NBTT02000001,NBTT02000001.1,4200,8199,4000,0,"[3.5044705867767334, -3.8642797470092773]","[0.9993698000907898, 0.0006302582332864404]"
NBTT02000001,NBTT02000001.1,4300,8299,4000,0,"[3.50018048286438, -3.8599085807800293]","[0.9993643164634705, 0.0006357372622005641]"
NBTT02000001,NBTT02000001.1,4400,8399,4000,0,"[3.5083680152893066, -3.8684611320495605]","[0.9993748068809509, 0.0006251902668736875]"
NBTT02000001,NBTT02000001.1,4500,8499,4000,0,"[3.5183632373809814, -3.877744674682617]","[0.9993866682052612, 0.000613260199315846]"
NBTT02000001,NBTT02000001.1,4600,8599,4000,0,"[3.515591621398926, -3.8740577697753906]","[0.999382734298706, 0.0006172312423586845]"
NBTT02000001,NBTT02000001.1,4700,8699,4000,0,"[3.519914388656616, -3.8784866333007812]","[0.9993880987167358, 0.0006118561723269522]"
NBTT02000001,NBTT02000001.1,4800,8799,4000,0,"[3.518003463745117, -3.8765180110931396]","[0.9993857145309448, 0.0006142330239526927]"
NBTT02000001,NBTT02000001.1,4900,8899,4000,0,"[3.5160868167877197, -3.8744773864746094]","[0.9993833303451538, 0.0006166673847474158]"
NBTT02000001,NBTT02000001.1,5000,8999,4000,0,"[3.512606143951416, -3.870971202850342]","[0.99937903881073, 0.0006209881976246834]"
NBTT02000001,NBTT02000001.1,5100,9099,4000,0,"[3.5107853412628174, -3.86942458152771]","[0.9993769526481628, 0.0006230815197341144]"
NBTT02000001,NBTT02000001.1,5200,9199,4000,0,"[3.508035898208618, -3.8667423725128174]","[0.9993734955787659, 0.0006264729308895767]"
NBTT02000001,NBTT02000001.1,5300,9299,4000,0,"[3.505262613296509, -3.8643882274627686]","[0.999370276927948, 0.0006296913488768041]"
NBTT02000001,NBTT02000001.1,5400,9399,4000,0,"[3.5076630115509033, -3.8672051429748535]","[0.9993736147880554, 0.0006264165858738124]"
NBTT02000001,NBTT02000001.1,5500,9499,4000,0,"[3.5054805278778076, -3.863725185394287]","[0.9993700385093689, 0.0006299717351794243]"
NBTT02000001,NBTT02000001.1,5600,9599,4000,0,"[3.5054800510406494, -3.8636364936828613]","[0.9993700385093689, 0.0006300275563262403]"
NBTT02000001,NBTT02000001.1,5700,9699,4000,0,"[3.499476909637451, -3.858386516571045]","[0.9993628859519958, 0.0006371530471369624]"
NBTT02000001,NBTT02000001.1,5800,9799,4000,0,"[3.480384349822998, -3.839409828186035]","[0.9993380904197693, 0.0006618601619265974]"
NBTT02000001,NBTT02000001.1,5900,9899,4000,0,"[3.485778331756592, -3.845061779022217]","[0.9993453621864319, 0.000654594216030091]"
NBTT02000001,NBTT02000001.1,6000,9999,4000,0,"[3.4856672286987305, -3.8444881439208984]","[0.9993450045585632, 0.0006550423568114638]"
NBTT02000001,NBTT02000001.1,6100,10099,4000,0,"[3.498424768447876, -3.8576231002807617]","[0.9993616938591003, 0.0006383102154359221]"
NBTT02000001,NBTT02000001.1,6200,10199,4000,0,"[3.4976840019226074, -3.8575117588043213]","[0.9993610978126526, 0.0006388536421582103]"
NBTT02000001,NBTT02000001.1,6300,10299,4000,0,"[3.4919605255126953, -3.8515846729278564]","[0.9993537068367004, 0.0006463357130996883]"
NBTT02000001,NBTT02000001.1,6400,10399,4000,0,"[3.489769458770752, -3.8499433994293213]","[0.9993512034416199, 0.0006488154758699238]"
NBTT02000001,NBTT02000001.1,6500,10499,4000,0,"[3.4800031185150146, -3.840405225753784]","[0.9993385672569275, 0.000661454105284065]"
