name,sample_ID,start_position,end_position,length,label,logits,softmax_probs
NC_004835,NC_004835.1,0,3999,4000,0,"[3.4970386028289795, -3.853464126586914]","[0.9993581175804138, 0.0006418569828383625]"
NC_004835,NC_004835.1,100,4099,4000,0,"[3.4827303886413574, -3.839351177215576]","[0.9993396401405334, 0.000660348916426301]"
NC_004835,NC_004835.1,200,4199,4000,0,"[3.471823215484619, -3.828766107559204]","[0.9993253946304321, 0.0006746851722709835]"
NC_004835,NC_004835.1,300,4299,4000,0,"[3.349912643432617, -3.701859474182129]","[0.9991349577903748, 0.0008651241660118103]"
NC_004835,NC_004835.1,400,4399,4000,0,"[3.38991379737854, -3.7461421489715576]","[0.9992048144340515, 0.0007952520390972495]"
NC_004835,NC_004835.1,500,4499,4000,0,"[3.4673051834106445, -3.8253331184387207]","[0.9993199110031128, 0.0006800674018450081]"
NC_004835,NC_004835.1,600,4599,4000,0,"[3.4944419860839844, -3.852299213409424]","[0.9993557333946228, 0.0006442744634114206]"
NC_004835,NC_004835.1,700,4699,4000,0,"[3.502532958984375, -3.859318494796753]","[0.9993653893470764, 0.0006346185109578073]"
NC_004835,NC_004835.1,800,4799,4000,0,"[3.507150650024414, -3.8639259338378906]","[0.9993712306022644, 0.000628794776275754]"
NC_004835,NC_004835.1,900,4899,4000,0,"[3.501187801361084, -3.8576931953430176]","[0.9993634819984436, 0.0006365053704939783]"
NC_004835,NC_004835.1,1000,4999,4000,0,"[3.4987316131591797, -3.8562636375427246]","[0.999360978603363, 0.0006389818736352026]"
NC_004835,NC_004835.1,1100,5099,4000,0,"[3.49251389503479, -3.850037097930908]","[0.9993529915809631, 0.0006469779182225466]"
NC_004835,NC_004835.1,1200,5199,4000,0,"[3.4816155433654785, -3.8388161659240723]","[0.9993385672569275, 0.000661438622046262]"
NC_004835,NC_004835.1,1300,5299,4000,0,"[3.498147964477539, -3.8547468185424805]","[0.999359667301178, 0.0006403246079571545]"
NC_004835,NC_004835.1,1400,5399,4000,0,"[3.496931552886963, -3.8543012142181396]","[0.999358594417572, 0.0006413891678676009]"
NC_004835,NC_004835.1,1500,5499,4000,0,"[3.291093349456787, -3.6463849544525146]","[0.9990302324295044, 0.0009697732166387141]"
NC_004835,NC_004835.1,1600,5599,4000,0,"[3.041487216949463, -3.376953363418579]","[0.9983715415000916, 0.0016285411547869444]"
NC_004835,NC_004835.1,1700,5699,4000,0,"[1.8018571138381958, -1.9785141944885254]","[0.9776946306228638, 0.022305341437458992]"
NC_004835,NC_004835.1,1800,5799,4000,0,"[1.481784462928772, -1.620701789855957]","[0.9569951295852661, 0.04300481826066971]"
NC_004835,NC_004835.1,1900,5899,4000,0,"[1.624070405960083, -1.791988730430603]","[0.9682027101516724, 0.03179733455181122]"
NC_004835,NC_004835.1,2000,5999,4000,0,"[2.1635489463806152, -2.422276496887207]","[0.9899075031280518, 0.010092434473335743]"
NC_004835,NC_004835.1,2100,6099,4000,0,"[3.424215316772461, -3.781851291656494]","[0.9992584586143494, 0.0007415199652314186]"
NC_004835,NC_004835.1,2200,6199,4000,0,"[3.416268825531006, -3.7739927768707275]","[0.9992467164993286, 0.0007533237803727388]"
NC_004835,NC_004835.1,2300,6299,4000,0,"[3.367569923400879, -3.722947597503662]","[0.999167799949646, 0.0008322729845531285]"
NC_004835,NC_004835.1,2400,6399,4000,0,"[3.2717621326446533, -3.620270252227783]","[0.9989851117134094, 0.0010148158762603998]"
NC_004835,NC_004835.1,2500,6499,4000,0,"[3.1445541381835938, -3.4805517196655273]","[0.9986750483512878, 0.0013248821487650275]"
NC_004835,NC_004835.1,2600,6599,4000,0,"[3.397055149078369, -3.753756284713745]","[0.9992163181304932, 0.0007836131262592971]"
NC_004835,NC_004835.1,2700,6699,4000,0,"[3.3999876976013184, -3.7563395500183105]","[0.9992207288742065, 0.0007793059921823442]"
NC_004835,NC_004835.1,2800,6799,4000,0,"[3.373828411102295, -3.7283682823181152]","[0.9991773962974548, 0.000822617148514837]"
NC_004835,NC_004835.1,2900,6899,4000,0,"[3.331073760986328, -3.683499336242676]","[0.9991021156311035, 0.0008978824480436742]"
NC_004835,NC_004835.1,3000,6999,4000,0,"[3.123122215270996, -3.450740337371826]","[0.9986055493354797, 0.0013944462407380342]"
NC_004835,NC_004835.1,3100,7099,4000,0,"[3.2164955139160156, -3.559720516204834]","[0.9988607168197632, 0.0011392832966521382]"
NC_004835,NC_004835.1,3200,7199,4000,0,"[3.3292574882507324, -3.681784152984619]","[0.9990990161895752, 0.0009010561043396592]"
NC_004835,NC_004835.1,3300,7299,4000,0,"[3.365274429321289, -3.7195770740509033]","[0.999163031578064, 0.0008369982824660838]"
NC_004835,NC_004835.1,3400,7399,4000,0,"[3.4011037349700928, -3.7577834129333496]","[0.9992226362228394, 0.0007773152319714427]"
NC_004835,NC_004835.1,3500,7499,4000,0,"[3.382982015609741, -3.739020347595215]","[0.9991934895515442, 0.0008064977591857314]"
NC_004835,NC_004835.1,3600,7599,4000,0,"[3.410482883453369, -3.767888069152832]","[0.9992376565933228, 0.0007623280398547649]"
NC_004835,NC_004835.1,3700,7699,4000,0,"[3.4147472381591797, -3.7716073989868164]","[0.9992437362670898, 0.0007562707178294659]"
NC_004835,NC_004835.1,3800,7799,4000,0,"[3.443420648574829, -3.8025054931640625]","[0.9992874264717102, 0.0007125654956325889]"
NC_004835,NC_004835.1,3900,7899,4000,0,"[3.475281238555908, -3.8338143825531006]","[0.999330997467041, 0.0006689744768664241]"
NC_004835,NC_004835.1,4000,7999,4000,0,"[3.467538595199585, -3.8252928256988525]","[0.9993200302124023, 0.0006799362017773092]"
NC_004835,NC_004835.1,4100,8099,4000,0,"[3.4801101684570312, -3.837275743484497]","[0.9993365406990051, 0.0006634551100432873]"
NC_004835,NC_004835.1,4200,8199,4000,0,"[3.462008476257324, -3.818345308303833]","[0.9993115663528442, 0.0006884676404297352]"
NC_004835,NC_004835.1,4300,8299,4000,0,"[3.4260201454162598, -3.782682180404663]","[0.9992603659629822, 0.0007395697175525129]"
NC_004835,NC_004835.1,4400,8399,4000,0,"[3.3554019927978516, -3.7110679149627686]","[0.9991475343704224, 0.0008525122539140284]"
NC_004835,NC_004835.1,4500,8499,4000,0,"[2.9102649688720703, -3.2399425506591797]","[0.9978715181350708, 0.002128498861566186]"
NC_004835,NC_004835.1,4600,8599,4000,0,"[2.720315456390381, -3.0400867462158203]","[0.9968600273132324, 0.003139954060316086]"
NC_004835,NC_004835.1,4700,8699,4000,0,"[3.3288724422454834, -3.6848652362823486]","[0.9991014003753662, 0.0008986322791315615]"
NC_004835,NC_004835.1,4800,8799,4000,0,"[3.410423755645752, -3.7672431468963623]","[0.9992371797561646, 0.000762864772696048]"
NC_004835,NC_004835.1,4900,8899,4000,0,"[3.4504594802856445, -3.807772159576416]","[0.9992960691452026, 0.0007038566982373595]"
NC_004835,NC_004835.1,5000,8999,4000,0,"[3.397505283355713, -3.753713369369507]","[0.9992166757583618, 0.0007832943229004741]"
NC_004835,NC_004835.1,5100,9099,4000,0,"[3.389455795288086, -3.7454898357391357]","[0.9992038607597351, 0.0007961345836520195]"
NC_004835,NC_004835.1,5200,9199,4000,0,"[3.3231396675109863, -3.674391031265259]","[0.9990867376327515, 0.0009133013663813472]"
NC_004835,NC_004835.1,5300,9299,4000,0,"[3.280371904373169, -3.6289913654327393]","[0.9990026354789734, 0.0009973974665626884]"
NC_004835,NC_004835.1,5400,9399,4000,0,"[3.3722870349884033, -3.729976177215576]","[0.9991773962974548, 0.0008225622586905956]"
