Contig accession,NCBI Id
CP020917.1,CP020917
CP020917.1,CP020917
CP020917.1,CP020917
CP020917.1,CP020917
CP020917.1,CP020917
NC_002570,NC_002570
NC_000964,NC_000964
NC_000964,NC_000964
NC_000964,NC_000964
411479.31.con.0003,411479.31.con.0003
411479.31.con.0010,411479.31.con.0010
411479.31.con.0008,411479.31.con.0008
411479.31.con.0020,411479.31.con.0020
411479.31.con.0021,411479.31.con.0021
NC_004307,NC_004307
NC_004307,NC_004307
NC_003317,NC_003317
NC_003317,NC_003317
NC_002696,NC_002696
NC_003366,NC_003366
NC_004557,NC_004557
NC_004557,NC_004557
NC_004557,NC_004557
NC_001263,NC_001263
1351.557.con.0001,1351.557.con.0001
NC_004431,NC_004431
NC_004431,NC_004431
NC_004431,NC_004431
NC_004431,NC_004431
NC_004431,NC_004431
NC_000913,NC_000913
NC_000913,NC_000913
NC_000913,NC_000913
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002655,NC_002655
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
NC_002695,NC_002695
AE017180.2,AE017180
CH482377.1,CH482377
NBTT02000001.1,NBTT02000001
NBTT02000001.1,NBTT02000001
CP024912.1,CP024912
NC_000907,NC_000907
NC_000907,NC_000907
NC_002662,NC_002662
NC_002662,NC_002662
NC_002662,NC_002662
NC_002662,NC_002662
NC_002662,NC_002662
NC_003212,NC_003212
NC_003212,NC_003212
NC_003212,NC_003212
NC_003212,NC_003212
NC_003212,NC_003212
NC_003210,NC_003210
NC_003210,NC_003210
NC_002678,NC_002678
NC_002678,NC_002678
NC_002678,NC_002678
NC_002755,NC_002755
NC_002755,NC_002755
NC_000962,NC_000962
NC_000962,NC_000962
BA000018.3,BA000018
BX248353.1,BX248353
BX248353.1,BX248353
BX248353.1,BX248353
BX248353.1,BX248353
AE017226.1,AE017226
AE017196.1,AE017196
AE017196.1,AE017196
AE017196.1,AE017196
