NCBI Id,start,end,Organism Name
NC_000962,2970065,2980835,Mycobacterium tuberculosis H37Rv
NC_000962,0,0,Mycobacterium tuberculosis H37Rv
NC_000913,0,0,Escherichia coli K12
NC_000913,0,0,Escherichia coli K12
NC_000913,0,0,Escherichia coli K12
NC_000913,563980,585282,Escherichia coli K12
NC_000913,1409925,1432985,Escherichia coli K12
NC_000913,1197865,1215896,Escherichia coli K12
NC_000913,1616881,1650732,Escherichia coli K12
NC_000913,0,0,Escherichia coli K12
NC_000913,0,0,Escherichia coli K12
NC_003112,998266,1007364,Neisseria meningitidis MC58
NC_003112,1099110,1133760,Neisseria meningitidis MC58
NC_002947,4375285,4412410,Pseudomonas putida KT2440
NC_002947,0,0,Pseudomonas putida KT2440
NC_002947,2585881,2626121,Pseudomonas putida KT2440
NC_002947,3401670,3459949,Pseudomonas putida KT2440
NC_002947,1734865,1780108,Pseudomonas putida KT2440
NC_003902,0,0,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_003902,3517532,3560198,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_003902,0,0,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_003902,0,0,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_002935,0,0,Corynebacterium diphtheriae NCTC 13129
NC_002935,0,0,Corynebacterium diphtheriae NCTC 13129
NC_002935,0,0,Corynebacterium diphtheriae NCTC 13129
NC_002935,151932,190743,Corynebacterium diphtheriae NCTC 13129
NC_003198,1885617,1927047,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,3511575,3552602,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,1538899,1572919,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,4459146,4507270,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,1008700,1053062,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,4683672,4696075,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,0,0,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,0,0,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_004337,2220680,2241353,Shigella flexneri 2a str. 301
NC_004337,236055,252705,Shigella flexneri 2a str. 301
NC_004337,899339,921295,Shigella flexneri 2a str. 301
NC_004337,306585,340777,Shigella flexneri 2a str. 301
NC_004337,0,0,Shigella flexneri 2a str. 301
NC_004337,1916802,1945128,Shigella flexneri 2a str. 301
NC_004337,2032769,2079336,Shigella flexneri 2a str. 301
NC_004337,1174944,1188408,Shigella flexneri 2a str. 301
NC_004337,1373649,1427197,Shigella flexneri 2a str. 301
NC_004337,0,0,Shigella flexneri 2a str. 301
NC_004337,696659,749966,Shigella flexneri 2a str. 301
NC_004337,1081687,1103027,Shigella flexneri 2a str. 301
NC_004337,1574398,1580656,Shigella flexneri 2a str. 301
NC_004337,3687621,3693861,Shigella flexneri 2a str. 301
NC_002967,1164701,1202621,Treponema denticola ATCC 35405
NC_002737,529593,570496,Streptococcus pyogenes M1 GAS
NC_002737,0,0,Streptococcus pyogenes M1 GAS
NC_002737,777508,820962,Streptococcus pyogenes M1 GAS
NC_002737,1182570,1222912,Streptococcus pyogenes M1 GAS
NC_003030,2017739,2083829,Clostridium acetobutylicum ATCC 824
NC_003030,0,0,Clostridium acetobutylicum ATCC 824
NC_003116,1770842,1807515,Neisseria meningitidis Z2491
NC_003116,0,0,Neisseria meningitidis Z2491
NC_003116,1211167,1236054,Neisseria meningitidis Z2491
NC_004431,0,0,Escherichia coli CFT073
NC_004431,907025,945470,Escherichia coli CFT073
NC_004431,3007214,3065315,Escherichia coli CFT073
NC_004431,0,0,Escherichia coli CFT073
NC_004431,1394721,1452257,Escherichia coli CFT073
NC_004431,1327942,1397351,Escherichia coli CFT073
NC_004431,1327942,1397351,Escherichia coli CFT073
NC_004116,1816885,1876443,Streptococcus agalactiae 2603V/R
NC_004116,550500,617296,Streptococcus agalactiae 2603V/R
NC_002745,2005721,2052732,Staphylococcus aureus subsp. aureus N315
NC_002745,0,0,Staphylococcus aureus subsp. aureus N315
NC_002662,1033815,1077533,Lactococcus lactis subsp. lactis Il1403
NC_002662,502338,520485,Lactococcus lactis subsp. lactis Il1403
NC_002662,28461,56371,Lactococcus lactis subsp. lactis Il1403
NC_002662,1414112,1457046,Lactococcus lactis subsp. lactis Il1403
NC_002662,1997701,2028023,Lactococcus lactis subsp. lactis Il1403
NC_002662,443687,484066,Lactococcus lactis subsp. lactis Il1403
NC_002516,673191,701381,Pseudomonas aeruginosa PAO1
NC_002516,673191,701381,Pseudomonas aeruginosa PAO1
NC_005085,2300705,2344086,Chromobacterium violaceum ATCC 12472
NC_005085,353384,374612,Chromobacterium violaceum ATCC 12472
NC_005085,427983,449939,Chromobacterium violaceum ATCC 12472
NC_000964,2151626,2290857,Bacillus subtilis subsp. subtilis str. 168
NC_000964,0,0,Bacillus subtilis subsp. subtilis str. 168
NC_000964,2653064,2701100,Bacillus subtilis subsp. subtilis str. 168
NC_000964,1325096,1348182,Bacillus subtilis subsp. subtilis str. 168
NC_005362,327849,370611,Lactobacillus johnsonii NCC 533
NC_005362,1292072,1331686,Lactobacillus johnsonii NCC 533
NC_003485,283161,348115,Streptococcus pyogenes MGAS8232
NC_003485,1443375,1493373,Streptococcus pyogenes MGAS8232
NC_003485,1041280,1088722,Streptococcus pyogenes MGAS8232
NC_003485,578055,619104,Streptococcus pyogenes MGAS8232
NC_003485,1200228,1241780,Streptococcus pyogenes MGAS8232
NC_003366,1310119,1335464,Clostridium perfringens str. 13
NC_003923,2036090,2091958,Staphylococcus aureus subsp. aureus MW2
NC_003923,1522195,1584851,Staphylococcus aureus subsp. aureus MW2
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,4340329,4385481,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,4007651,4076282,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,2354852,2390454,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,0,0,Photorhabdus luminescens subsp. laumondii TTO1
NC_005126,3405940,3468149,Photorhabdus luminescens subsp. laumondii TTO1
