NCBI Id,start,end,Organism Name
NC_000962,2970063,2984654,Mycobacterium tuberculosis H37Rv
NC_000962,1766987,1788487,Mycobacterium tuberculosis H37Rv
NC_000913,0,0,Escherichia coli K12
NC_000913,2465301,2477629,Escherichia coli K12
NC_000913,0,0,Escherichia coli K12
NC_000913,564755,586057,Escherichia coli K12
NC_000913,1411969,1434812,Escherichia coli K12
NC_000913,1198640,1216671,Escherichia coli K12
NC_000913,1618855,1653915,Escherichia coli K12
NC_000913,0,0,Escherichia coli K12
NC_000913,0,0,Escherichia coli K12
NC_003112,0,0,Neisseria meningitidis MC58
NC_003112,1101347,1133966,Neisseria meningitidis MC58
NC_002947,4371606,4428763,Pseudomonas putida KT2440
NC_002947,0,0,Pseudomonas putida KT2440
NC_002947,2585879,2626119,Pseudomonas putida KT2440
NC_002947,3401668,3459947,Pseudomonas putida KT2440
NC_002947,1734863,1780106,Pseudomonas putida KT2440
NC_003902,2423305,2465700,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_003902,3517530,3562020,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_003902,2423305,2465700,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_003902,0,0,Xanthomonas campestris pv. campestris str. ATCC 33913
NC_002935,0,0,Corynebacterium diphtheriae NCTC 13129
NC_002935,0,0,Corynebacterium diphtheriae NCTC 13129
NC_002935,1858843,1893843,Corynebacterium diphtheriae NCTC 13129
NC_002935,154102,190741,Corynebacterium diphtheriae NCTC 13129
NC_003198,1885326,1933598,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,3526926,3550970,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,1537695,1572919,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,4462578,4507745,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,1007350,1053060,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,4671588,4696873,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,2733112,2774301,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_003198,0,0,Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_004337,2220679,2240202,Shigella flexneri 2a str. 301
NC_004337,235830,252705,Shigella flexneri 2a str. 301
NC_004337,890776,939948,Shigella flexneri 2a str. 301
NC_004337,306583,340775,Shigella flexneri 2a str. 301
NC_004337,2680672,2695523,Shigella flexneri 2a str. 301
NC_004337,1915149,1950501,Shigella flexneri 2a str. 301
NC_004337,2032766,2079333,Shigella flexneri 2a str. 301
NC_004337,1174811,1200035,Shigella flexneri 2a str. 301
